"codeSystem","instanceType","codeSystemVersion","uuid:ID","id","decode","code"
"http://www.cdisc.org","Code","2023-12-15","39e8a037-4b1f-4895-b3fd-aa4cd4b80cce","Code_1","Interventional Study","C98388"
"http://www.cdisc.org","Code","2023-12-15","572cc848-b3bc-4ac7-8263-0caef32bd6e7","Code_2","Phase II Trial","C15601"
"http://www.cdisc.org","Code","2023-12-15","7787f2ba-418b-46c7-a7c1-a0d82167e9cf","Code_9","Sponsor Approval Date","C132352"
"http://www.cdisc.org","Code","2023-12-15","5cf1294e-d35e-4cb7-bb28-8d3e7d0727d9","Code_10","Global","C68846"
"http://www.cdisc.org","Code","2023-12-15","8e67b2f0-4c67-4e36-a6da-be807315f0ca","Code_72","IRB/IEC Feedback","C99904x3"
"http://www.cdisc.org","Code","2023-12-15","f5c986da-fa7c-4899-b5cf-e1a217b95f9f","Code_73","Other","C17649"
"http://www.cdisc.org","Code","2023-12-15","ef65c661-0751-470c-84c0-8141a493eb41","Code_75","Region","C41129"
"ISO 3166 1 alpha3","Code","2020-08","d7c4d8b8-8f79-4a8b-a197-01343931460b","Code_74","Europe","150"
"SPONSOR","Code","12","1cda927d-82f3-4400-a9b9-986d027f6826","Code_4","Eli Lilly","PHARMA"
"http://www.cdisc.org","Code","2023-12-15","340a781e-a83a-4357-a5d6-73fb2daf8edc","Code_76","Clinical Study Sponsor","C70793"
"ISO 3166 1 alpha3","Code","2020-08","ad5120f2-a72b-4535-8860-7773a517c208","Code_77","United States of America","USA"
"http://www.cdisc.org","Code","2023-12-15","cb704e40-3440-42d6-abe7-03ba2bbc1a0a","Code_78","Study Registry","C93453"
"ISO 3166 1 alpha3","Code","2020-08","c4b2de4c-75c2-4010-89e7-0986fc4638ca","Code_79","United States of America","USA"
"http://www.cdisc.org","Code","2023-12-15","0f7090c4-166f-4e91-82fa-ab37442fe4aa","Code_137","Treatment Study","C49656"
"http://www.cdisc.org","Code","2023-12-15","d0d3438b-c42c-4061-a1a0-7de3dfe712a8","Code_138","Efficacy Study","C49666"
"http://www.cdisc.org","Code","2023-12-15","78fe7bba-5c62-46f8-af66-ddb03279c3a8","Code_139","Safety Study","C49667"
"http://www.cdisc.org","Code","2023-12-15","2beb5240-b726-4abd-9608-137eda402412","Code_140","Pharmacokinetic Study","C49663"
"SPONSOR","Code","12","d120537d-fe1f-4dca-9001-d89d64920d37","Code_134","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ"
"SNOMED","Code","January 31, 2018","3e5d82cc-3439-4a53-a6e7-ef99898cc07f","Code_135","Alzheimer's disease","26929004"
"http://www.cdisc.org","Code","2023-12-15","e64590dd-2251-4936-a2a0-064652ab848c","Code_143","EXTENSION","C99907x1"
"http://www.cdisc.org","Code","2023-12-15","37bd0162-4a42-482c-afed-de6693db3066","Code_144","ADAPTIVE","C98704"
"http://www.cdisc.org","Code","2023-12-15","4eb906ac-ddef-438b-bda3-d14e1f191fee","Code_141","Parallel Study","C82639"
"http://www.cdisc.org","Code","2023-12-15","d5df5552-89d8-4fa0-a4f0-097f23f3c8ba","Code_83","Visit","C25716"
"http://www.cdisc.org","Code","2023-12-15","47e36d35-0b87-4a4b-9ac1-81a4c6517422","Code_84","Clinic","C51282"
"http://www.cdisc.org","Code","2023-12-15","d72fe60e-1793-4372-8975-f3b58f0515cc","Code_85","In Person","C175574"
"http://www.cdisc.org","Code","2023-12-15","77d34bea-b4eb-40f7-b98d-334054109848","Code_86","Visit","C25716"
"http://www.cdisc.org","Code","2023-12-15","3353b4ea-1d45-4805-a1d0-38103c9a1afd","Code_87","Clinic","C51282"
"http://www.cdisc.org","Code","2023-12-15","fd787119-1a25-4ae1-b3d3-11d20eb26f95","Code_88","In Person","C175574"
"http://www.cdisc.org","Code","2023-12-15","af4d36dd-b727-42e5-9d5e-c8c3799fccfe","Code_89","Visit","C25716"
"http://www.cdisc.org","Code","2023-12-15","870fb902-5ae1-49f7-920a-c6c444521bd4","Code_90","Clinic","C51282"
"http://www.cdisc.org","Code","2023-12-15","b2e2fcf3-e0c0-4ccf-b32b-1ad4ae6d5700","Code_91","In Person","C175574"
"http://www.cdisc.org","Code","2023-12-15","73aac995-42d6-4d10-a5a9-421f39c192b7","Code_92","Visit","C25716"
"http://www.cdisc.org","Code","2023-12-15","cc1ace7c-8150-40b0-89f5-95d136e1cb65","Code_93","Clinic","C51282"
"http://www.cdisc.org","Code","2023-12-15","7739e2f9-6501-48b7-a1dd-ef9701550586","Code_94","In Person","C175574"
"http://www.cdisc.org","Code","2023-12-15","82371fd1-92fb-49bd-b0eb-965a56518f13","Code_95","Visit","C25716"
"http://www.cdisc.org","Code","2023-12-15","117ee8b6-c9b7-4642-8844-0f8279a18b95","Code_96","Clinic","C51282"
"http://www.cdisc.org","Code","2023-12-15","2a8f08ab-4afc-49ce-8940-f3a65e639a5f","Code_97","In Person","C175574"
"http://www.cdisc.org","Code","2023-12-15","83e7e097-f827-4337-8631-64fd0f70785c","Code_98","Visit","C25716"
"http://www.cdisc.org","Code","2023-12-15","91b25ad5-ebe8-4dcd-abf6-e6a821d0de84","Code_99","Clinic","C51282"
"http://www.cdisc.org","Code","2023-12-15","e2d34730-175e-4a27-bbb3-87365530ec1c","Code_100","In Person","C175574"
"http://www.cdisc.org","Code","2023-12-15","0bc0dee1-2f14-4d9d-a165-74bbe99ee009","Code_101","Visit","C25716"
"http://www.cdisc.org","Code","2023-12-15","6bd9298a-0db2-41d1-b644-8b575ec881e1","Code_102","Clinic","C51282"
"http://www.cdisc.org","Code","2023-12-15","b5d91374-f560-45ad-8d5f-c9fc60ee239a","Code_103","In Person","C175574"
"http://www.cdisc.org","Code","2023-12-15","0aa30296-263b-4939-ac7b-44dab1545626","Code_104","Telephone Call","C171537"
"http://www.cdisc.org","Code","2023-12-15","9151814c-8e52-4365-a15c-09ecc50af1c2","Code_105","Visit","C25716"
