"uuid:ID","text","name","instanceType","id"
"5f354cb1-6137-49e7-bcf7-793a1cbd1fc8","Subject identifier","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_1"
"5264d1dd-2fb7-47f6-9667-6b9d43ba0361","completion of screening activities","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_2"
"a482c3ca-d22b-4da2-a763-f31bb6f0654b","subject leaves clinic after connection of ambulatory ECG machine","ENCOUNTER_START_RULE_2","TransitionRule","TransitionRule_3"
"58e86e8c-6421-45e5-aefb-f484490d7892","subject has connection of ambulatory ECG machine removed","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_4"
"6e465726-de10-4175-99cf-790b9dd98bbe","Radomized","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_5"
"bab1fa22-eea3-4875-9738-40e4413b76b6","End of treatment","ENCOUNTER_START_RULE_12","TransitionRule","TransitionRule_6"
"56b1c95f-1e89-4638-ab19-3053c09f8a4f","Informed consent","ELEMENT_START_RULE_1","TransitionRule","TransitionRule_7"
"fda91c7d-34a1-4dae-aa67-f64c53721592","Completion of all screening activities and no more than 2 weeks from informed consent","ELEMENT_END_RULE_1","TransitionRule","TransitionRule_8"
"5ad3f6b2-fb26-495d-b1ae-71742e4a91c6","Administration of first dose","ELEMENT_START_RULE_2","TransitionRule","TransitionRule_9"
"b0c393d2-59f7-4c6e-aab0-4db9b6c79ea2","End of last scheduled visit on study (including early termination)","ELEMENT_START_RULE_7","TransitionRule","TransitionRule_14"
"33315fa5-5d73-483e-9d8b-60a346142def","Completion of all specified followup activities (which vary on a patient-by-patient basis)","ELEMENT_END_RULE_7","TransitionRule","TransitionRule_15"
"fa9cb088-f326-4f20-8d4a-f601652514ad","Administration of first dose","ELEMENT_START_RULE_3","TransitionRule","TransitionRule_10"
"fa6dcb62-7afe-4a63-b7e2-9e050d6fabc6","Randomized","ELEMENT_START_RULE_4","TransitionRule","TransitionRule_11"
"e17d5fb8-f9de-48e9-a780-d138a637a281","Administration of first dose (from patches supplied at Visit 4)","ELEMENT_START_RULE_5","TransitionRule","TransitionRule_12"
"def48bb8-756a-4463-a874-b1a1b8e28726","Administration of first dose (from patches supplied at Visit 12)","ELEMENT_START_RULE_6","TransitionRule","TransitionRule_13"
