"codeSystem","code","uuid:ID","codeSystemVersion","decode","instanceType","id"
"http://www.cdisc.org","C98388","8411a7a7-a6d5-4d4d-a616-2607c4594b01","2023-12-15","Interventional Study","Code","Code_1"
"http://www.cdisc.org","C15601","dbc43a82-f4b2-42d2-8443-27ba70be34fe","2023-12-15","Phase II Trial","Code","Code_2"
"http://www.cdisc.org","C132352","b06df80d-3c46-48ce-b642-382b4abe001d","2023-12-15","Sponsor Approval Date","Code","Code_9"
"http://www.cdisc.org","C68846","16f4743b-d41a-46ea-b870-a327f6b34c6f","2023-12-15","Global","Code","Code_10"
"http://www.cdisc.org","C99904x3","27289b89-674d-4288-af23-d8b8ba4f11be","2023-12-15","IRB/IEC Feedback","Code","Code_72"
"http://www.cdisc.org","C17649","5cc3deef-7a2f-45b0-94f3-a53a4056fb11","2023-12-15","Other","Code","Code_73"
"http://www.cdisc.org","C41129","25c6fa75-b615-4d34-a741-4a0892923494","2023-12-15","Region","Code","Code_75"
"ISO 3166 1 alpha3","150","48240d8c-2d9d-4901-aa64-0c0c7bbfcd9f","2020-08","Europe","Code","Code_74"
"SPONSOR","PHARMA","5e1d3525-0087-47ae-b13a-91ffa7e5168a","12","Eli Lilly","Code","Code_4"
"http://www.cdisc.org","C70793","46305614-8f1a-4ac8-8303-61e9954f3ab9","2023-12-15","Clinical Study Sponsor","Code","Code_76"
"ISO 3166 1 alpha3","USA","0fa5b2bc-84c7-4e00-b0d1-a1412e9917d3","2020-08","United States of America","Code","Code_77"
"http://www.cdisc.org","C93453","41f7500e-67cd-49f6-833b-aca986d2987f","2023-12-15","Study Registry","Code","Code_78"
"ISO 3166 1 alpha3","USA","68c2ea71-97d1-493d-a9f0-81f0993f642f","2020-08","United States of America","Code","Code_79"
"http://www.cdisc.org","C49656","a69377ef-213d-4e5b-b4f8-df4daa722bcb","2023-12-15","Treatment Study","Code","Code_137"
"http://www.cdisc.org","C49666","ed4d20eb-6570-44c3-abab-6819c2925624","2023-12-15","Efficacy Study","Code","Code_138"
"http://www.cdisc.org","C49667","1b56733f-0c33-466f-9d8b-c83628802bd3","2023-12-15","Safety Study","Code","Code_139"
"http://www.cdisc.org","C49663","5daef9c0-5189-4615-9b1c-3eb5697bcdab","2023-12-15","Pharmacokinetic Study","Code","Code_140"
"SPONSOR","MILD_MOD_ALZ","9d077a5e-d76a-468a-a0b6-b45bb41b830e","12","Mild to Moderate Alzheimer's Disease","Code","Code_134"
"SNOMED","26929004","47cf328d-87ea-47a1-b802-f1877448a06a","January 31, 2018","Alzheimer's disease","Code","Code_135"
"http://www.cdisc.org","C99907x1","25f0f475-5c9f-4f18-83c6-fda04c5728c8","2023-12-15","EXTENSION","Code","Code_143"
