"reference","instanceType","name","uuid:ID","label","id","synonyms"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","Informed Consent Obtained","b56bb73b-0198-4db8-97c8-d0bcff66b285","Informed Consent Obtained","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","Sex","f245bffd-c87c-4b05-b763-9f2558b8bb51","Sex","BiomedicalConcept_21",""
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","Race","6d7bcaeb-8216-466d-aac6-8e28fc7932aa","Race","BiomedicalConcept_22","['Racial Group']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","fdd040c4-3eb2-4136-82c6-7fec762d0a35","Temperature","BiomedicalConcept_23","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","0f2ce491-2f72-48d5-a144-48b5996e6059","Weight","BiomedicalConcept_24","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","195e3f1d-f66c-4d72-af81-eb4d86a35aee","Height","BiomedicalConcept_25","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","070e0f74-b880-4cfa-a9a3-7ccf06176b02","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","2b550a26-1c51-4742-9aa5-bbaeb88f6bb7","Albumin Presence in Urine","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","e646a649-725b-4b19-999e-5ef69f6ac468","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","d43ebdd0-ccb1-4a2e-a589-6b742a606d4b","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","bcf27162-957c-4881-a8dd-cc4aded79788","Creatinine Concentration in Urine","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","1ca89653-2335-4286-878d-a176ef299570","Potassium Concentration in Urine","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","0b418696-0274-4e26-a2e4-cb66c946c1f1","Sodium Concentration in Urine","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","28b63561-4b0e-4bce-9c02-04ac432325a3","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","Adverse Event Prespecified","6984abb4-16ce-4e3e-a6b4-b5f9e08db0dd","Adverse Event Prespecified","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","0f6d4a9d-9325-40d3-8453-d364b8e3f5c0","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","bf08c0e7-ce59-41d0-ae44-534f40c92985","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","ed7eca93-8135-48e7-bd30-dc0ccbc5ca58","Temperature","BiomedicalConcept_4","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","7f4e47c8-75fd-4e49-87ab-697f6f8cce4b","Weight","BiomedicalConcept_5","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","55d6253b-48c8-4586-80ef-114c978ee57a","Height","BiomedicalConcept_6","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","cf197dd0-7781-4a72-9cb4-e482dc9d2e8f","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","bb35874f-3e16-4617-b08f-755a5ea52c51","Albumin Presence in Urine","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']"
