"name","synonyms","reference","uuid:ID","id","instanceType","label"
"Body Temperature","['Temperature']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","92c7eae3-0144-4262-9d1a-7a6da6b32a0e","BiomedicalConcept_20","BiomedicalConcept","Body Temperature"
"Body Weight","['Weight']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","987c90a4-32d3-49cd-bc89-9ee93cccf8e3","BiomedicalConcept_21","BiomedicalConcept","Body Weight"
"Body Height","['Height']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","d149376c-fc61-4ab2-8ae2-0ade8e1f316d","BiomedicalConcept_22","BiomedicalConcept","Body Height"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","1ee62b7b-2a69-493b-be89-9b38cdc92e15","BiomedicalConcept_23","BiomedicalConcept","Alanine Aminotransferase Measurement"
"Albumin Measurement","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","6f044558-f902-4ad8-9949-8c0e493ca40d","BiomedicalConcept_24","BiomedicalConcept","Albumin Measurement"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","63ec8023-057a-4ec3-9c87-d15a085f9045","BiomedicalConcept_25","BiomedicalConcept","Alkaline Phosphatase Measurement"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","9c0b81dd-a0a2-483a-bfc9-b576adac0516","BiomedicalConcept_26","BiomedicalConcept","Aspartate Aminotransferase Measurement"
"Creatinine Measurement","['Creatinine']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","97bfff9f-ba8e-4a4c-9930-ce476d9b7ab5","BiomedicalConcept_27","BiomedicalConcept","Creatinine Measurement"
"Potassium Measurement","['Potassium', 'K']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","e4b9f6b7-2209-49fb-8590-f9fa47f731b8","BiomedicalConcept_28","BiomedicalConcept","Potassium Measurement"
"Sodium Measurement","['Sodium', 'NA']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","ceaf8954-071e-4f5c-b87d-2569b36ce863","BiomedicalConcept_29","BiomedicalConcept","Sodium Measurement"
"Adverse Event","","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","87718dfb-441d-49b9-aba2-82cd7d3952a8","BiomedicalConcept_1","BiomedicalConcept","Adverse Event"
"Systolic Blood Pressure","['SYSBP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","7059f093-8ddc-4b05-b7ad-678611226c06","BiomedicalConcept_2","BiomedicalConcept","Systolic Blood Pressure"
"Diastolic Blood Pressure","['DIABP']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","49abee62-3635-424a-935d-58a707c2a8ba","BiomedicalConcept_3","BiomedicalConcept","Diastolic Blood Pressure"
"Body Temperature","['Temperature']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","95cdade9-762a-4ec2-b7aa-480c02fc173c","BiomedicalConcept_4","BiomedicalConcept","Body Temperature"
"Body Weight","['Weight']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","b5695386-061d-4baa-982c-b7e1847c1754","BiomedicalConcept_5","BiomedicalConcept","Body Weight"
"Body Height","['Height']","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","4c2d3066-9766-4cd8-b5a7-fd6d5da5cdfc","BiomedicalConcept_6","BiomedicalConcept","Body Height"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","ce519510-b664-439a-a4a8-2c2ccf18cb29","BiomedicalConcept_7","BiomedicalConcept","Alanine Aminotransferase Measurement"
"Albumin Measurement","['Albumin']","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","dbfde266-1fca-43a5-9fd4-8b0941badb65","BiomedicalConcept_8","BiomedicalConcept","Albumin Measurement"
