"description","id","instanceType","uuid:ID","label","name"
"-","ScheduledActivityInstance_9","ScheduledActivityInstance","b3d89f05-f995-4e89-a127-2fbab5237e9d","Screen One","SCREEN1"
"-","ScheduledActivityInstance_10","ScheduledActivityInstance","8f75b5fa-ad9b-471a-a0ef-79bd2dded90d","Screen Two","SCREEN2"
"-","ScheduledActivityInstance_11","ScheduledActivityInstance","79cddc7c-e32b-45fd-a4f4-1aaa25dd4fb8","Dose","DOSE"
"-","ScheduledActivityInstance_12","ScheduledActivityInstance","af6f34af-2c1e-4ef1-a7ff-f7bf680592a9","Week 2","WK2"
"-","ScheduledActivityInstance_13","ScheduledActivityInstance","4ed1190e-5c81-404c-a245-441ee5d8e4bf","Week 4","WK4"
"-","ScheduledActivityInstance_14","ScheduledActivityInstance","07cb529a-b845-480a-a973-5d3bf6e482ab","Week 6","WK6"
"-","ScheduledActivityInstance_15","ScheduledActivityInstance","8b92b03e-47dd-4d74-8068-f1056c13f613","Week 8","WK8"
"-","ScheduledActivityInstance_16","ScheduledActivityInstance","e5400535-7594-4834-a2d7-dd4d547052ea","Week NPI","WK8N"
"-","ScheduledActivityInstance_17","ScheduledActivityInstance","a3cd395a-c914-4ad9-a127-86dd1d6c5eec","Week 12","WK12"
"-","ScheduledActivityInstance_18","ScheduledActivityInstance","53af84e0-959e-4395-a06b-2a63ef822621","Week 12 NPI","WK12N"
"-","ScheduledActivityInstance_19","ScheduledActivityInstance","ac325587-b478-4fb5-932e-48013b735890","Week 16","WK16"
"-","ScheduledActivityInstance_20","ScheduledActivityInstance","9a142ac4-eae0-479e-be93-6e8ed0f9831b","Week 16 NPI","WK16N"
"-","ScheduledActivityInstance_21","ScheduledActivityInstance","142780e1-ce47-405e-ab7b-bd3d03aa51bc","Week 20","WK20"
"-","ScheduledActivityInstance_22","ScheduledActivityInstance","509d9fcc-f29f-41bb-b39d-e4d5b23b83da","Week 20 NPI","WK20N"
"-","ScheduledActivityInstance_23","ScheduledActivityInstance","417d7628-f0c7-4bf1-890f-b111930878a3","Week 24","WK24"
"-","ScheduledActivityInstance_24","ScheduledActivityInstance","7def3e64-9c83-4a2e-9fd2-d8bb7690a359","Week 26","WK26"
"-","ScheduledActivityInstance_1","ScheduledActivityInstance","a9a1099f-4096-4919-9f31-467431676c0f","Adevers Event","AE"
"-","ScheduledActivityInstance_2","ScheduledActivityInstance","decc9ee8-ac3f-480d-b973-eac3d4964dad","Early Termination","ET"
"","ScheduledActivityInstance_3","ScheduledActivityInstance","ffb4f28a-ad3f-435c-9a8b-b51e0ed6f550","5 minute supine","VS_5MIN"
"","ScheduledActivityInstance_4","ScheduledActivityInstance","a29dca5d-24dd-4d0c-8453-246be8ddef77","Vital signs supine","VS_SUPINE"
"","ScheduledActivityInstance_5","ScheduledActivityInstance","a3d8f8be-698c-4185-af6c-46e95395b752","1 minute standing","VS_1MIN"
"","ScheduledActivityInstance_6","ScheduledActivityInstance","f1269b96-48c1-4dc7-bfa7-edc24f462af8","Vital signs after 1 min standing","VS_STAND1"
"","ScheduledActivityInstance_7","ScheduledActivityInstance","7b1d5657-8058-4220-b805-c768ba9b2faf","2 minute standing","VS_2MIN"
"","ScheduledActivityInstance_8","ScheduledActivityInstance","d1c18da8-c5d8-4d79-b064-ad792f53f1f5","Vital signs after 3 min standing","VS_STAND3"
