"id","name","label","uuid:ID","instanceType","description"
"Activity_1","Informed consent","Informed consent","39bf02f5-34c7-4888-b632-f966325ba9f6","Activity",""
"Activity_2","Inclusion/exclusion criteria","Inclusion and exclusion criteria","206e0839-fa31-459e-add3-9d92bb74e10e","Activity",""
"Activity_3","Patient number assigned","Patient number assigned","11ca8f3d-f5bf-419b-b721-519b4b709955","Activity",""
"Activity_4","Demographics","Demographics","7bd24115-ffa8-42a6-922d-430151b782b8","Activity",""
"Activity_5","Hachinski","Hachinski Ischemic Scale","237a97bc-4c92-4626-929f-710d6b796d2b","Activity",""
"Activity_6","MMSE","MMSE","a175d4eb-d2ce-4180-a0c8-23ff59ad6d94","Activity",""
"Activity_7","Physical examination","Physical examination","043fb6d2-1892-490e-8b3a-b610d5deec0c","Activity",""
"Activity_8","Medical history","Medical history","4c3dc461-ccf1-4183-ad43-5194a90a8acf","Activity",""
"Activity_9","Habits","Habits","9ad560f5-f8ae-4a11-88e9-94b2e2f6bfff","Activity",""
"Activity_10","Chest X-ray","Chest X-ray","e0f0dcd1-b399-4b96-a222-7a121d7a21f6","Activity",""
"Activity_11","Apo E genotyping","Apo E genotyping","d5911e70-63f9-4d07-b210-0f5e6aa4e422","Activity",""
"Activity_12","Patient randomised","Patient randomised","bd9b2e30-cd44-4c79-abb5-5e4741283f58","Activity",""
"Activity_13","Vital signs / Temperature","Vital Signs and Temperature","05332765-6bb2-45b8-a674-a0365e00b99b","Activity",""
"Activity_14","Ambulatory ECG placed","Ambulatory ECG placed","05087481-8185-4c82-991f-b606a1a6b5f0","Activity",""
"Activity_15","Ambulatory ECG removed","Ambulatory ECG removed","005af612-2210-4d7e-a079-dc8ccdcf308b","Activity",""
"Activity_16","ECG","ECG","584debce-59ed-4490-97f8-3bcd8dca76dd","Activity",""
"Activity_17","Placebo TTS test","Placebo TTS test","fb6bc5c8-c276-4675-b9b7-97ed7bdfc672","Activity",""
"Activity_18","CT scan","CT scan","3a82fc94-2191-4913-b3d8-4cb77b30cb69","Activity",""
"Activity_19","Concomitant medications","Concomitant medications","ae571ea5-6dc8-4338-9169-020cff7798f3","Activity",""
"Activity_20","Hematology","Hematology","4cf6ef15-1fa9-49a2-a7da-6f95265a87ec","Activity",""
"Activity_21","Chemistry","Chemistry","84a982cc-6e66-4c0d-97a4-81be32652fe3","Activity",""
"Activity_22","Uninalysis","Uninalysis","08635c5d-2a89-4fcb-8a55-c80c4f72f0e7","Activity",""
"Activity_23","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","516d1832-0fa0-49bb-a560-4e442742d3db","Activity",""
"Activity_24","Hemoglobin A1C","Hemoglobin A1C","1b14db33-1e0d-4933-9f84-4890054dc708","Activity",""
"Activity_25","Study drug","Study drug record , Medications dispensed, Medications returned","0e11c9c8-690e-49f9-b3dc-6c612f3664f6","Activity",""
"Activity_26","TTS Acceptability Survey","TTS Acceptability Survey","a137ac1c-2bee-4532-b17c-c7a64f741f7a","Activity",""
"Activity_27","ADAS-Cog","ADAS-Cog","caa5e1fb-60e3-4ed1-a994-aab0343707c9","Activity",""
"Activity_28","CIBIC+","CIBIC+","b144f224-4e37-4f2f-8972-f0411ea001f2","Activity",""
"Activity_29","DAD","DAD","b5b8b199-7f90-4164-88b8-b639e462034d","Activity",""
"Activity_30","NPI-X","NPI-X","eec3ebd5-b995-4886-9a34-0b7cdb6f34fe","Activity",""
"Activity_31","Adverse events","Adverse events","10c1d52b-9957-49da-bcc8-de800a917bf3","Activity",""
"Activity_32","Check adverse events","Check adverse events","e05b011e-30af-4d8f-ba2c-9c60b1bd9637","Activity",""
"Activity_33","Supine","Subject supine","ee4e8cf3-ff91-46ea-96eb-bf957efb0685","Activity",""
"Activity_34","Vital Signs Supine","Vital signs while supine","628c55b4-4b6c-445d-8df7-d1189a365b7e","Activity",""
"Activity_35","Stand","Subject Standing","1002fb78-12a5-45ba-9843-948fbe2a6492","Activity",""
"Activity_36","Vital Signs Standing","Vital signs while standing","3920cbbf-f415-4bfc-9f33-954ab1ef0965","Activity",""
