"id","name","description","label","uuid:ID","instanceType"
"Encounter_1","E1","Screening encounter","Screening 1","14f4909c-6517-407d-8c70-7d57f2904954","Encounter"
"Encounter_2","E2","Screening encounter - Ambulatory ECG Placement","Screening 2","f531ad74-fa3e-4ef4-8cc0-c8645429f65d","Encounter"
"Encounter_3","E3","Baseline encounter - Ambulatory ECG Removal","Baseline","2c2862f8-af87-4cd3-9b27-d6f72017694f","Encounter"
"Encounter_4","E4","Day 14","Week 2","f8cb35c1-a449-48b7-965e-435d06ef0af0","Encounter"
"Encounter_5","E5","Day 28","Week 4","7cd69022-af20-4367-8952-5d451823ad35","Encounter"
"Encounter_6","E7","Day 42","Week 6","9ee8120d-010d-433a-8ffb-c5517121a400","Encounter"
"Encounter_7","E8","Day 56","Week 8","c22139d5-8504-4e5f-9b95-ddbe5c92a15a","Encounter"
"Encounter_8","E9","Day 84","Week 12","e6f228c6-3c5e-4d39-8591-fd09be231ca4","Encounter"
"Encounter_9","E10","Day 112","Week 16","2f98c7a8-c9ee-40cd-a466-60b702f62cc4","Encounter"
"Encounter_10","E11","Day 140","Week 20","280237a6-26ce-4e82-9ec4-346d2529ec91","Encounter"
"Encounter_11","E12","Day 168","Week 24","2f25e727-a87c-452c-80bc-543222f371bd","Encounter"
"Encounter_12","E13","Day 182","Week 26","720818f2-2501-4063-928e-188d635800ff","Encounter"
