"label","id","instanceType","uuid:ID","name","description"
"Screen One","ScheduledActivityInstance_9","ScheduledActivityInstance","aada0f0f-5fad-4afc-a782-475b4ee73924","SCREEN1","-"
"Screen Two","ScheduledActivityInstance_10","ScheduledActivityInstance","75c0e202-383b-4f98-ae7d-3bedd301a3bc","SCREEN2","-"
"Dose","ScheduledActivityInstance_11","ScheduledActivityInstance","3581d1ae-37f7-420b-960e-3e56a203274a","DOSE","-"
"Week 2","ScheduledActivityInstance_12","ScheduledActivityInstance","efb9456c-8c93-4df8-bca3-7cacefafb1f3","WK2","-"
"Week 4","ScheduledActivityInstance_13","ScheduledActivityInstance","4eb3c32a-71fe-4a37-af76-a14f6c010d22","WK4","-"
"Week 6","ScheduledActivityInstance_14","ScheduledActivityInstance","12982dba-242d-431a-b6fa-65ce9d65e33a","WK6","-"
"Week 8","ScheduledActivityInstance_15","ScheduledActivityInstance","2862762b-77e4-46c6-8bd7-80703df64044","WK8","-"
"Week NPI","ScheduledActivityInstance_16","ScheduledActivityInstance","88e1510c-b731-40e1-9943-0deadc2acb73","WK8N","-"
"Week 12","ScheduledActivityInstance_17","ScheduledActivityInstance","5ce8ea81-b0ec-4faa-ac3e-c6f44306de3d","WK12","-"
"Week 12 NPI","ScheduledActivityInstance_18","ScheduledActivityInstance","5b749ee3-7120-4a2d-a5c0-5d1ad7c4a328","WK12N","-"
"Week 16","ScheduledActivityInstance_19","ScheduledActivityInstance","2bab9fee-a0c5-41fd-b83f-e61e3aaf7526","WK16","-"
"Week 16 NPI","ScheduledActivityInstance_20","ScheduledActivityInstance","4a3d81ae-f31f-4dff-bb58-468aa0955a26","WK16N","-"
"Week 20","ScheduledActivityInstance_21","ScheduledActivityInstance","5170729f-5317-47b2-b087-3a7a147e71be","WK20","-"
"Week 20 NPI","ScheduledActivityInstance_22","ScheduledActivityInstance","f0ee3211-3c18-4162-8314-dfe82a87980e","WK20N","-"
"Week 24","ScheduledActivityInstance_23","ScheduledActivityInstance","b1acfe80-8aaf-446f-9ed6-46d45997b1f5","WK24","-"
"Week 26","ScheduledActivityInstance_24","ScheduledActivityInstance","724adb2a-a8c1-4266-a3d9-16429156cab0","WK26","-"
"Adevers Event","ScheduledActivityInstance_1","ScheduledActivityInstance","1fd586c5-35cd-45c8-b152-f9f1e1c14712","AE","-"
"Early Termination","ScheduledActivityInstance_2","ScheduledActivityInstance","4485fbab-9190-4437-af27-665a64ddaba6","ET","-"
"5 minute supine","ScheduledActivityInstance_3","ScheduledActivityInstance","6ed2c51a-bf9b-47fb-81e2-ca156af97cbc","VS_5MIN",""
"Vital signs supine","ScheduledActivityInstance_4","ScheduledActivityInstance","1f31235a-4df8-4f03-bb65-48e5642f460e","VS_SUPINE",""
"1 minute standing","ScheduledActivityInstance_5","ScheduledActivityInstance","74943d32-2e54-4d8d-b5b0-49bbf5048f24","VS_1MIN",""
"Vital signs after 1 min standing","ScheduledActivityInstance_6","ScheduledActivityInstance","e55622d6-ce16-4fa2-9918-52489d963788","VS_STAND1",""
"2 minute standing","ScheduledActivityInstance_7","ScheduledActivityInstance","57ad0e71-cffd-430b-8b1d-a2a734961999","VS_2MIN",""
"Vital signs after 3 min standing","ScheduledActivityInstance_8","ScheduledActivityInstance","337ea3ba-f3c3-41eb-99a4-9df26e0d4fb5","VS_STAND3",""
