"instanceType","name","description","id","uuid:ID","label"
"Activity","Informed consent","","Activity_1","fa1ed9d7-325b-4905-9ec2-284e7a337d3d","Informed consent"
"Activity","Inclusion/exclusion criteria","","Activity_2","084d2c13-ff46-4e1c-8ff6-5d25701a00bf","Inclusion and exclusion criteria"
"Activity","Patient number assigned","","Activity_3","c017b225-324f-40d5-be7d-f465044f263b","Patient number assigned"
"Activity","Demographics","","Activity_4","51ac4c0e-b1a0-4d9a-ae88-d2a6e5e0e14e","Demographics"
"Activity","Hachinski","","Activity_5","c77f2348-42ea-4034-9dee-61a2eab66a62","Hachinski Ischemic Scale"
"Activity","MMSE","","Activity_6","55e3f786-0b96-48c4-8856-d1656375b80a","MMSE"
"Activity","Physical examination","","Activity_7","35f53137-b802-4dc2-bea7-6414e4320dd5","Physical examination"
"Activity","Medical history","","Activity_8","c2a3684a-65d0-45b0-a4e0-8bce5f321b3a","Medical history"
"Activity","Habits","","Activity_9","13894e8a-fb03-4d63-825a-5a72ce3634e0","Habits"
"Activity","Chest X-ray","","Activity_10","0b5f8e7c-5b29-4829-a21b-1df08e0e0ad8","Chest X-ray"
"Activity","Apo E genotyping","","Activity_11","9401db2f-b01f-4453-be6f-c9e90204d8d8","Apo E genotyping"
"Activity","Patient randomised","","Activity_12","e30925b3-a892-4284-b9d2-3d072a1677c1","Patient randomised"
"Activity","Vital signs / Temperature","","Activity_13","b4422871-a344-438f-89e2-fd4c5a9fb2a0","Vital Signs and Temperature"
"Activity","Ambulatory ECG placed","","Activity_14","76a04859-18ae-48ce-b974-8593f35331e8","Ambulatory ECG placed"
"Activity","Ambulatory ECG removed","","Activity_15","686719d1-1d9b-46dd-8ac6-e5944f36afd1","Ambulatory ECG removed"
"Activity","ECG","","Activity_16","6a5db21d-4dfe-4a69-8c44-30326b5bfe7d","ECG"
"Activity","Placebo TTS test","","Activity_17","7e5ef16c-bb6d-4331-9ce6-e9c666df27e5","Placebo TTS test"
"Activity","CT scan","","Activity_18","d0066ed9-7ff3-419b-aed4-44cee68ff790","CT scan"
"Activity","Concomitant medications","","Activity_19","16f80e78-84b2-494c-8cb1-9ccba6c50da0","Concomitant medications"
"Activity","Hematology","","Activity_20","7d73850d-52f4-4076-a007-f9f545afac81","Hematology"
"Activity","Chemistry","","Activity_21","f4dfe0ad-c4fa-4c46-85dd-2727bf1d4df4","Chemistry"
"Activity","Uninalysis","","Activity_22","d32c4a9a-4f30-4c48-9800-578677939bfc","Uninalysis"
"Activity","Plasma Specimen (Xanomeline)","","Activity_23","b8c8f0f4-cc92-4793-ba1b-007e5bc50392","Plasma Specimen (Xanomeline)"
"Activity","Hemoglobin A1C","","Activity_24","824d365d-af10-4201-9410-68c1d848b231","Hemoglobin A1C"
"Activity","Study drug","","Activity_25","3cd07b16-31b2-4e59-ad61-f417220f6f32","Study drug record , Medications dispensed, Medications returned"
"Activity","TTS Acceptability Survey","","Activity_26","2ac5b522-5251-49df-8743-d4d633aa7eb0","TTS Acceptability Survey"
"Activity","ADAS-Cog","","Activity_27","068be4fe-a727-4daf-b0db-47ccd4179920","ADAS-Cog"
"Activity","CIBIC+","","Activity_28","fa881706-0696-40c3-8cf0-e601b40e9c09","CIBIC+"
"Activity","DAD","","Activity_29","fbe316c8-ae06-4bb6-a2de-1bdac8b25ef9","DAD"
"Activity","NPI-X","","Activity_30","ee2157b1-73a6-44f3-9e3d-f19dbff59689","NPI-X"
"Activity","Adverse events","","Activity_31","21cfb011-ca61-4c2f-affc-8bc4fa79de9f","Adverse events"
"Activity","Check adverse events","","Activity_32","bc084492-c4a3-485e-96d7-0c2f4683afe7","Check adverse events"
"Activity","Supine","","Activity_33","5b02a995-6ceb-41c5-8702-820a416cde2c","Subject supine"
"Activity","Vital Signs Supine","","Activity_34","7c4cccd3-a6c1-41e7-817e-4325647bb0d2","Vital signs while supine"
"Activity","Stand","","Activity_35","f34c2ab9-9136-41bb-aa92-2bd1cef49d5a","Subject Standing"
"Activity","Vital Signs Standing","","Activity_36","514f2759-b3c5-4280-8940-d49c486e702f","Vital signs while standing"
