"description","instanceType","name","uuid:ID","label","id"
"Screening encounter","Encounter","E1","edf035ba-0ee0-4c6d-a336-0f32c32458b7","Screening 1","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","Encounter","E2","ce95f801-4d01-459d-8ee5-de0cd8927aff","Screening 2","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","Encounter","E3","f82d9d61-35fa-481d-981e-e893e69a19c7","Baseline","Encounter_3"
"Day 14","Encounter","E4","ac6fd3e1-d819-497c-ac1c-910d1e942e90","Week 2","Encounter_4"
"Day 28","Encounter","E5","10abc7f1-576f-40a2-818b-ca17f6ef2ab4","Week 4","Encounter_5"
"Day 42","Encounter","E7","d9e73f3b-7fb4-4d7a-8309-c536a7d6f92f","Week 6","Encounter_6"
"Day 56","Encounter","E8","c848a6c2-d2db-4058-abb0-28471c004fe6","Week 8","Encounter_7"
"Day 84","Encounter","E9","866689d7-27c5-4c73-9179-3812c0136965","Week 12","Encounter_8"
"Day 112","Encounter","E10","149a5618-bf0f-4921-844f-3a57f58b7027","Week 16","Encounter_9"
"Day 140","Encounter","E11","7ccb558f-9d09-43a4-8618-ff34860e9d55","Week 20","Encounter_10"
"Day 168","Encounter","E12","88e7abf9-e794-4ee2-81ed-cb0d0cfd0de7","Week 24","Encounter_11"
"Day 182","Encounter","E13","37f4c3a7-ddf6-4baf-922f-7269932c8e81","Week 26","Encounter_12"
