"description","instanceType","name","uuid:ID","label","id"
"-","ScheduledActivityInstance","SCREEN1","d768cba4-fe24-4742-ba9a-ebbe82f042c4","Screen One","ScheduledActivityInstance_9"
"-","ScheduledActivityInstance","SCREEN2","d92b6082-37a6-421d-a161-15d5a185aa63","Screen Two","ScheduledActivityInstance_10"
"-","ScheduledActivityInstance","DOSE","7125d746-1877-4809-b470-797e716610ab","Dose","ScheduledActivityInstance_11"
"-","ScheduledActivityInstance","WK2","019acc66-151c-4901-ab37-816f954f6454","Week 2","ScheduledActivityInstance_12"
"-","ScheduledActivityInstance","WK4","8c291896-823f-40ea-a9d5-04f29c13148e","Week 4","ScheduledActivityInstance_13"
"-","ScheduledActivityInstance","WK6","01b583d2-c887-42be-b619-ef35b5ad9a8c","Week 6","ScheduledActivityInstance_14"
"-","ScheduledActivityInstance","WK8","e43d6b40-4fc8-42ef-9069-a356b09a676b","Week 8","ScheduledActivityInstance_15"
"-","ScheduledActivityInstance","WK8N","10fa5ddb-cc8c-426e-89ee-4d4ca07fed8d","Week NPI","ScheduledActivityInstance_16"
"-","ScheduledActivityInstance","WK12","0378ecd2-6435-460f-aa83-940370b31e1e","Week 12","ScheduledActivityInstance_17"
"-","ScheduledActivityInstance","WK12N","f5eb290b-eba6-47b5-ac51-5a769a6f6aed","Week 12 NPI","ScheduledActivityInstance_18"
"-","ScheduledActivityInstance","WK16","9cc4ee15-4a53-46d9-a70c-22e827751ce7","Week 16","ScheduledActivityInstance_19"
"-","ScheduledActivityInstance","WK16N","db8266d3-f719-4161-a49c-66919054ce83","Week 16 NPI","ScheduledActivityInstance_20"
"-","ScheduledActivityInstance","WK20","25617dc1-06d5-4be4-b248-22a76bee525f","Week 20","ScheduledActivityInstance_21"
"-","ScheduledActivityInstance","WK20N","f949bf76-f03f-4145-9510-e74adb1571e6","Week 20 NPI","ScheduledActivityInstance_22"
"-","ScheduledActivityInstance","WK24","73024ad3-6f83-43f9-ac1e-b58167244365","Week 24","ScheduledActivityInstance_23"
"-","ScheduledActivityInstance","WK26","6669e233-16cf-4c60-8147-ed18f3aa7818","Week 26","ScheduledActivityInstance_24"
"-","ScheduledActivityInstance","AE","6f3e0dd7-c90c-4324-a25f-4d4e02f632c6","Adevers Event","ScheduledActivityInstance_1"
"-","ScheduledActivityInstance","ET","e23049f4-6aba-4aea-af55-416b883e4197","Early Termination","ScheduledActivityInstance_2"
"","ScheduledActivityInstance","VS_5MIN","fd1a3e79-712d-4c18-a351-d3ee71103c3d","5 minute supine","ScheduledActivityInstance_3"
"","ScheduledActivityInstance","VS_SUPINE","a602e188-ad37-4c04-a554-68876a6c5a24","Vital signs supine","ScheduledActivityInstance_4"
"","ScheduledActivityInstance","VS_1MIN","d13a0726-ab3c-450c-9d31-1559013b78e5","1 minute standing","ScheduledActivityInstance_5"
"","ScheduledActivityInstance","VS_STAND1","5429b6cb-5c46-4cf9-8830-1bae038c3d82","Vital signs after 1 min standing","ScheduledActivityInstance_6"
"","ScheduledActivityInstance","VS_2MIN","bf0ed8b6-100b-4508-8212-310ebb0aef80","2 minute standing","ScheduledActivityInstance_7"
"","ScheduledActivityInstance","VS_STAND3","1507fa6f-2347-4317-8545-b2fdb4b508d0","Vital signs after 3 min standing","ScheduledActivityInstance_8"
