"name","label","id","instanceType","uuid:ID","description"
"Informed consent","Informed consent","Activity_1","Activity","e550ac7f-5e01-4b48-9830-cba83f527b61",""
"Inclusion/exclusion criteria","Inclusion and exclusion criteria","Activity_2","Activity","6560db95-552f-47b7-8112-5d0fb9948eab",""
"Patient number assigned","Patient number assigned","Activity_3","Activity","07a6ae72-0424-4dfb-9fb9-39ba7d5f84dd",""
"Demographics","Demographics","Activity_4","Activity","d94f346f-3529-4803-94aa-2aaef031f2b6",""
"Hachinski","Hachinski Ischemic Scale","Activity_5","Activity","fdf4e2a7-962e-49ac-a76b-26ddadd45b3f",""
"MMSE","MMSE","Activity_6","Activity","dfc8ea8f-f13e-4f03-86d9-bf209fa7f0f8",""
"Physical examination","Physical examination","Activity_7","Activity","8bb0d1c8-a6e5-40c5-8a7c-cbef0d9ae6f6",""
"Medical history","Medical history","Activity_8","Activity","84f0956c-2add-447d-b6c0-80471f8061d4",""
"Habits","Habits","Activity_9","Activity","3cba9ce0-8b95-49b3-bb19-af7b473a0514",""
"Chest X-ray","Chest X-ray","Activity_10","Activity","39e5c50e-a700-42fd-9d8e-dd2d2df96b1e",""
"Apo E genotyping","Apo E genotyping","Activity_11","Activity","3292f3c2-bf72-44a6-8600-4848c9f521b6",""
"Patient randomised","Patient randomised","Activity_12","Activity","e9fffdaf-a8ae-4d85-8090-1847b47be7ab",""
"Vital signs / Temperature","Vital Signs and Temperature","Activity_13","Activity","08a2619e-8146-49ff-a3cf-664888ef7694",""
"Ambulatory ECG placed","Ambulatory ECG placed","Activity_14","Activity","0ef412b4-6a53-4099-bb81-1af6dc5cb1f7",""
"Ambulatory ECG removed","Ambulatory ECG removed","Activity_15","Activity","4c7a4dcc-ba3a-474e-b1d2-2b21c10db501",""
"ECG","ECG","Activity_16","Activity","5ee11e37-04f1-4bf1-b460-28522e85ad31",""
"Placebo TTS test","Placebo TTS test","Activity_17","Activity","e187919e-c0b8-41f2-94e2-94885fe9e3f8",""
"CT scan","CT scan","Activity_18","Activity","c361252f-dd77-4741-b22f-091be17b381b",""
"Concomitant medications","Concomitant medications","Activity_19","Activity","f53db78b-ef8f-4ad5-a35d-521f529f3b7a",""
"Hematology","Hematology","Activity_20","Activity","81db14f6-3884-4637-9966-834e99d14349",""
"Chemistry","Chemistry","Activity_21","Activity","854dbb55-a521-4634-aa43-916d5eefcbe6",""
"Uninalysis","Uninalysis","Activity_22","Activity","352a45c3-5c5d-42c4-a0b8-50e2f34e5899",""
"Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity_23","Activity","a5c3685d-2ea6-4735-97a9-b029e810efcf",""
"Hemoglobin A1C","Hemoglobin A1C","Activity_24","Activity","0efd4831-88dc-45ff-9f65-74a3f684db1b",""
"Study drug","Study drug record , Medications dispensed, Medications returned","Activity_25","Activity","35464036-0dcf-472d-9851-6f090d2beb45",""
"TTS Acceptability Survey","TTS Acceptability Survey","Activity_26","Activity","a1408c45-c332-493d-a8fc-1d2df1f0efb7",""
"ADAS-Cog","ADAS-Cog","Activity_27","Activity","43aef1bd-4efd-4222-b11f-ee645bab417d",""
"CIBIC+","CIBIC+","Activity_28","Activity","9556ea8a-f134-4815-9533-b981583e0af9",""
"DAD","DAD","Activity_29","Activity","6feac24d-e2b4-4ff8-a172-fd6798c020ae",""
"NPI-X","NPI-X","Activity_30","Activity","9172dc57-d4d6-4fab-9e9b-0740ba1c2f65",""
"Adverse events","Adverse events","Activity_31","Activity","d905f145-6949-4f12-9ebd-90b3ecf7ff45",""
"Check adverse events","Check adverse events","Activity_32","Activity","7d4ddd7c-811d-416a-865f-a1078b8da4b6",""
"Supine","Subject supine","Activity_33","Activity","b32f8f74-5f0a-490f-b527-25ea64898ded",""
"Vital Signs Supine","Vital signs while supine","Activity_34","Activity","cab59f54-5fea-49c1-a381-8275f682ae5a",""
"Stand","Subject Standing","Activity_35","Activity","b0018fad-a519-4581-84b5-76b8dd65c49d",""
"Vital Signs Standing","Vital signs while standing","Activity_36","Activity","c9d5b530-cbef-4f66-856d-26e1955c2679",""
