"uuid:ID","description","instanceType","name","id","label"
"2c1482f3-e800-469b-acba-7c33def86757","","Activity","Informed consent","Activity_1","Informed consent"
"5c6c54f6-be25-4958-bde9-58dccd628e25","","Activity","Inclusion/exclusion criteria","Activity_2","Inclusion and exclusion criteria"
"05a238b5-6c50-455d-a149-f8d2ab976294","","Activity","Patient number assigned","Activity_3","Patient number assigned"
"38118041-5717-4c79-b120-2ed03054cc95","","Activity","Demographics","Activity_4","Demographics"
"206dbb22-70eb-413d-a1e4-e6774d97fdca","","Activity","Hachinski","Activity_5","Hachinski Ischemic Scale"
"3ade5edc-89b0-4e1f-b5ba-e20b0e464d45","","Activity","MMSE","Activity_6","MMSE"
"572b147b-d1a8-4344-acb1-3367de8bb1ae","","Activity","Physical examination","Activity_7","Physical examination"
"12ece855-adf1-4063-b857-45a2348cae8e","","Activity","Medical history","Activity_8","Medical history"
"89ccef5c-4ac4-4b86-bfb8-ffd4ae2108de","","Activity","Habits","Activity_9","Habits"
"21db3da4-c55e-49fe-8706-0516d0e47c71","","Activity","Chest X-ray","Activity_10","Chest X-ray"
"b2d1e797-c2b5-45e9-8a5f-88584e5c42de","","Activity","Apo E genotyping","Activity_11","Apo E genotyping"
"8c90624c-76f3-4e79-a7d1-866ad9352c22","","Activity","Patient randomised","Activity_12","Patient randomised"
"305b5fe6-5242-4ddc-b619-5201894cdcd1","","Activity","Vital signs / Temperature","Activity_13","Vital Signs and Temperature"
"525cab23-e4c9-40b8-8733-75a47766249e","","Activity","Ambulatory ECG placed","Activity_14","Ambulatory ECG placed"
"bb8b4a2a-f740-49e1-b1d6-6912b2e0788d","","Activity","Ambulatory ECG removed","Activity_15","Ambulatory ECG removed"
"84d19577-7ac0-4027-b7db-68387f0e1882","","Activity","ECG","Activity_16","ECG"
"e061eed4-ee92-42ad-af47-22cc1399a677","","Activity","Placebo TTS test","Activity_17","Placebo TTS test"
"bf53bfe9-46a1-48f1-a183-646788919215","","Activity","CT scan","Activity_18","CT scan"
"79ff067e-a230-4d4d-82dd-0f89d6e1512e","","Activity","Concomitant medications","Activity_19","Concomitant medications"
"08718709-fb5f-4a6e-9441-4181e57cb4f9","","Activity","Hematology","Activity_20","Hematology"
"2150a511-e301-4fa3-8a51-d78183c44235","","Activity","Chemistry","Activity_21","Chemistry"
"190e9d5a-0d7d-4219-9c81-0d96fdbb8cdc","","Activity","Uninalysis","Activity_22","Uninalysis"
"1707488c-518d-4816-aeca-de50ecbd8a8b","","Activity","Plasma Specimen (Xanomeline)","Activity_23","Plasma Specimen (Xanomeline)"
"0390361c-2f23-479a-9117-97c0ea24112b","","Activity","Hemoglobin A1C","Activity_24","Hemoglobin A1C"
"6ee60453-da1f-4f02-b133-de5eb533d4be","","Activity","Study drug","Activity_25","Study drug record , Medications dispensed, Medications returned"
"84f0b7ce-8138-48d5-9751-80735ba31f50","","Activity","TTS Acceptability Survey","Activity_26","TTS Acceptability Survey"
"b7519c12-cffd-4327-bf8f-9e34b038443a","","Activity","ADAS-Cog","Activity_27","ADAS-Cog"
"c9e178cf-2021-4379-bac8-92bc768bdbb8","","Activity","CIBIC+","Activity_28","CIBIC+"
"bc806443-d0dd-4d4d-b6ce-6d11ba765d38","","Activity","DAD","Activity_29","DAD"
"acd543dc-7a26-4025-8ec2-08b5e0e46e30","","Activity","NPI-X","Activity_30","NPI-X"
"2d10e6d2-6e61-4075-af59-d2ea22ea4480","","Activity","Adverse events","Activity_31","Adverse events"
"feda94aa-e035-44af-ae4e-c3152dcf26e2","","Activity","Check adverse events","Activity_32","Check adverse events"
"26cf810e-280b-417d-9ada-50a571e638a2","","Activity","Supine","Activity_33","Subject supine"
"c110a850-d919-4acc-bd9b-3ab3eab7a325","","Activity","Vital Signs Supine","Activity_34","Vital signs while supine"
"fdd68d53-cb3e-412e-843d-339e25e681da","","Activity","Stand","Activity_35","Subject Standing"
"4c5f2815-f005-490b-a678-e3e14e5fe290","","Activity","Vital Signs Standing","Activity_36","Vital signs while standing"
