"id","name","uuid:ID","isRequired","datatype","isEnabled","instanceType","label"
"BiomedicalConceptProperty_116","Sex","b957f1a2-2ad5-4048-b987-58a2d2d60559","True","string","True","BiomedicalConceptProperty","Sex"
"BiomedicalConceptProperty_117","Race","ec18eb16-0abd-4d89-a5b0-017d5cecd137","True","string","True","BiomedicalConceptProperty","Race"
"BiomedicalConceptProperty_118","VSTESTCD","551c5aea-098b-4365-a72a-57a96d5eca39","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_119","VSORRES","73011589-df75-43af-92e9-58884067aed3","True","float","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_120","VSORRESU","69b3a209-61dc-4c17-978a-8457e350945f","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_121","VSLOC","1587b911-9810-4ef6-9765-1e94df89f338","True","","True","BiomedicalConceptProperty","VSLOC"
"BiomedicalConceptProperty_122","VSTESTCD","c1f3cfb6-aa1c-4c3f-b80e-3169c22e60a3","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_123","VSORRES","8ec3bb86-586e-478b-97a2-4888bf6c9060","True","float","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_124","VSORRESU","122adeb0-0d7c-457e-a6d9-60bf90c8bb31","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_125","VSTESTCD","8b7b30f1-3af9-4c81-b9a7-1ca050cafb82","True","","True","BiomedicalConceptProperty","VSTESTCD"
"BiomedicalConceptProperty_126","VSORRES","fc0d2718-eb67-475a-952f-9e4e87a5c383","True","float","True","BiomedicalConceptProperty","VSORRES"
"BiomedicalConceptProperty_127","VSORRESU","b2aae01f-49bc-4dc1-8064-45b4c09d117b","True","","True","BiomedicalConceptProperty","VSORRESU"
"BiomedicalConceptProperty_128","LBTESTCD","75a63cc3-e8f6-46e1-92ac-e68d867fdeed","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_129","LBORRES","c16d7013-13bc-428d-a692-01e3e638742f","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_130","LBORRESU","26b5f507-255d-4895-8252-d3748acceaed","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_131","LBSPEC","de42e8da-ba22-4fb4-b120-c1ec492972be","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_132","LBFAST","6fcb8a46-4c39-4cff-8612-329c00343e39","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_133","LBTESTCD","0d35fa48-4887-40a7-a2ae-a73712a877e7","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_134","LBORRES","7fa4b8c1-cbdd-4114-bb16-86d6280e2c51","True","text","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_135","LBSPEC","f715db45-6606-46e4-9648-43751239b07c","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_136","LBFAST","e55ac5bd-b70f-4d38-96ee-024a5d0ec5ce","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_137","LBTESTCD","bc256677-3081-4479-83ab-1e1ad2d785e8","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_138","LBORRES","fa93d9fe-05c8-4e4b-aa85-10281dec9374","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_139","LBORRESU","1124507e-1e9c-463f-a3c2-9e378258f138","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_140","LBSPEC","8cc67038-c4a1-45b5-9c7c-118aeb2fa3ab","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_141","LBFAST","22fa48d5-92e6-475c-be79-0c52fb1eac0b","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_142","LBTESTCD","b41cf9c9-0591-4684-a57d-a58c6928d494","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_143","LBORRES","d4eacbfa-cddf-47bf-af5a-70efdf68ced2","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_144","LBORRESU","c0122e7f-83b6-4849-b5aa-eaaf39ba8061","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_145","LBSPEC","6fceb173-9f06-4b74-9b96-1ab0e6174705","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_146","LBFAST","e8b1584b-5ff7-417d-91c6-6a5bf370ba61","True","","True","BiomedicalConceptProperty","LBFAST"
"BiomedicalConceptProperty_147","LBTESTCD","2987899a-6b7a-4431-b1ef-3f554b518228","True","","True","BiomedicalConceptProperty","LBTESTCD"
"BiomedicalConceptProperty_148","LBORRES","90065a96-a7cd-4e5e-9571-a3375d17318f","True","float","True","BiomedicalConceptProperty","LBORRES"
"BiomedicalConceptProperty_149","LBORRESU","a5a9cdbe-543d-4f40-ab88-ffe2cdb4986b","True","","True","BiomedicalConceptProperty","LBORRESU"
"BiomedicalConceptProperty_150","LBSPEC","f23da95b-7d81-46f5-baa5-49540b56ce59","True","","True","BiomedicalConceptProperty","LBSPEC"
"BiomedicalConceptProperty_151","LBFAST","a9e23aea-ae53-4c36-be39-b9e62f44cf6e","True","","True","BiomedicalConceptProperty","LBFAST"
