"id","description","name","uuid:ID","label","instanceType"
"Encounter_1","Screening encounter","E1","0aaf95d5-2a8f-4274-b990-aa83358816fb","Screening 1","Encounter"
"Encounter_2","Screening encounter - Ambulatory ECG Placement","E2","cc33c929-053f-4aff-bc53-b209e7c37bd1","Screening 2","Encounter"
"Encounter_3","Baseline encounter - Ambulatory ECG Removal","E3","b61cb008-db6b-4f12-8ee0-5d4ec7b156a0","Baseline","Encounter"
"Encounter_4","Day 14","E4","4a98dab7-b603-47f2-a145-d7208c34c1bd","Week 2","Encounter"
"Encounter_5","Day 28","E5","ebedd2db-3073-4592-a6ee-f301133ce895","Week 4","Encounter"
"Encounter_6","Day 42","E7","c26959ed-7de7-44be-8f43-6cc9b613c243","Week 6","Encounter"
"Encounter_7","Day 56","E8","4573d117-01eb-4a9c-87f3-d1aced8ad8c9","Week 8","Encounter"
"Encounter_8","Day 84","E9","c25f71e5-0a3a-4d30-91b2-830e4343a964","Week 12","Encounter"
"Encounter_9","Day 112","E10","c56aa3a7-975e-49eb-8792-bbb655aa3521","Week 16","Encounter"
"Encounter_10","Day 140","E11","9e9500c5-c6dc-406a-ad2c-8d60deb468c8","Week 20","Encounter"
"Encounter_11","Day 168","E12","0349ed59-2e80-4512-9b22-f1d8cc9ffb60","Week 24","Encounter"
"Encounter_12","Day 182","E13","f8d959d5-071a-4e93-bcf5-8f02e2e7a565","Week 26","Encounter"
