"text","uuid:ID","id","name","instanceType"
"Subject identifier","d6bcb567-7183-453c-a6d6-8bf3d214e0d1","TransitionRule_1","ENCOUNTER_START_RULE_1","TransitionRule"
"completion of screening activities","4f370874-0e63-4196-b8b5-162c7c16175b","TransitionRule_2","ENCOUNTER_START_RULE_1","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","7e4ad449-189f-4984-8b05-acf9a68ec697","TransitionRule_3","ENCOUNTER_START_RULE_2","TransitionRule"
"subject has connection of ambulatory ECG machine removed","a4306de8-1987-4a1f-b055-e1606546a00d","TransitionRule_4","ENCOUNTER_START_RULE_3","TransitionRule"
"Radomized","7c32bca6-81a4-47f1-8b49-1c41e131a3ed","TransitionRule_5","ENCOUNTER_START_RULE_3","TransitionRule"
"End of treatment","bbc2e8e3-d704-47c2-b490-bdeae1377d6d","TransitionRule_6","ENCOUNTER_START_RULE_12","TransitionRule"
"Informed consent","1ee836ce-3118-4232-ba74-384a24c92ad8","TransitionRule_7","ELEMENT_START_RULE_1","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","2a6616de-c4a4-4362-8936-47623a116c9e","TransitionRule_8","ELEMENT_END_RULE_1","TransitionRule"
"Administration of first dose","11d22c95-a675-4a84-9eb7-82a4fdc63c19","TransitionRule_9","ELEMENT_START_RULE_2","TransitionRule"
"End of last scheduled visit on study (including early termination)","6cdd7617-3cc4-4c8c-b049-21ba9e14dba4","TransitionRule_14","ELEMENT_START_RULE_7","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","6c4a9b64-673e-43f8-85cb-868de486556a","TransitionRule_15","ELEMENT_END_RULE_7","TransitionRule"
"Administration of first dose","9ed87484-2c01-43d4-b6ed-1b05564c91a1","TransitionRule_10","ELEMENT_START_RULE_3","TransitionRule"
"Randomized","fe2a2692-ac82-4304-b1be-fb7eca0bc0da","TransitionRule_11","ELEMENT_START_RULE_4","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","ad658a8b-7d04-41b5-8ccf-dd533c781df2","TransitionRule_12","ELEMENT_START_RULE_5","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","0344e376-51ee-445e-bc5b-f2dc637f1bd6","TransitionRule_13","ELEMENT_START_RULE_6","TransitionRule"
