"purpose","id","instanceType","description","label","text","name","uuid:ID"
"","Endpoint_1","ENDPOINT","","","Clinical status assessed using a 7-category ordinal scale at Day 28","END1","7501cfe2-1760-4c3c-9635-2f16b98ae2b0"
"","Endpoint_2","ENDPOINT","","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","END2","572c334e-4a4a-4b13-a0f2-d52d3cd9fc13"
"","Endpoint_3","ENDPOINT","","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","END3","21a84729-e50b-4144-b7c4-9029649833f2"
"","Endpoint_4","ENDPOINT","","","Incidence of mechanical ventilation","END4","e8623de9-ee9b-4967-acce-bf85e24f7d2d"
"","Endpoint_5","ENDPOINT","","","Ventilator-free days to Day 28","END5","8eddc67f-0e27-4e32-80a9-290aeb4dd626"
"","Endpoint_6","ENDPOINT","","","Incidence of intensive care unit (ICU) stay","END6","48cfbf2a-d651-4d5c-bb0c-7062bce7b5d5"
"","Endpoint_7","ENDPOINT","","","Duration of ICU stay","END7","7c1345f6-3303-4f8d-9067-ced1219fca0b"
"","Endpoint_8","ENDPOINT","","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","END8","b7fd9005-bb3d-4eb2-84de-5ce50e8ba59d"
"","Endpoint_9","ENDPOINT","","","Mortality rate at Days 7, 14, 21, 28, and 60","END9","db21cc4b-3874-40cf-99d3-d07d39f55fd3"
"","Endpoint_10","ENDPOINT","","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","END10","d05ae79d-662c-4be6-9e40-86add03ddcb9"
"","Endpoint_11","ENDPOINT","","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","END11","04133644-a199-4ddb-80fa-5a8df21cf5e3"
"","Endpoint_12","ENDPOINT","","","Duration of supplemental oxygen","END12","6b437a2a-fee8-4f06-a248-a2e0e66ae4c8"
