"codeSystem","decode","codeSystemVersion","uuid:ID","code","id"
"http://www.cdisc.org","Interventional Study","2023-09-29","71f9809b-4bcc-47ba-8e79-5090d100e937","C98388","Code_1"
"http://www.cdisc.org","Phase II Trial","2023-09-29","2fb95fde-f7fe-43df-beba-36c209fea95c","C15601","Code_2"
"http://www.cdisc.org","Sponsor Approval Date","2023-09-29","16bbc440-3f2a-4ca5-8654-ab11ed4654be","C132352","Code_5"
"http://www.cdisc.org","Global","2023-09-29","bcfda91b-8525-40a3-b5a7-f27f53994108","C68846","Code_6"
"http://www.cdisc.org","IRB/IEC Feedback","2023-09-29","6c84fc5b-2156-49ef-bcfb-bff0b7e54260","C99904x3","Code_54"
"http://www.cdisc.org","Other","2023-09-29","ba3edbae-dd91-4f57-bfa2-3bfe9faecee7","C17649","Code_55"
"http://www.cdisc.org","Region","2023-09-29","61916cc7-2340-433c-899b-faed3fc239a9","C41129","Code_57"
"ISO 3166 1 alpha3","Europe","2020-08","ead02085-20d4-414d-91bc-18d071eec884","150","Code_56"
"http://www.cdisc.org","Country","2023-09-29","eb7513ee-c0cd-4741-a388-f5eea8a8b9f3","C25464","Code_59"
"ISO 3166 1 alpha3","Denmark","2020-08","812610cc-a637-4f33-8498-61fcfe9dbb08","DNK","Code_58"
"SPONSOR","Eli Lilly","12","4ba67208-f887-4b2f-b4ab-763ea776ed24","PHARMA","Code_3"
"http://www.cdisc.org","Clinical Study Sponsor","2023-09-29","6e0799eb-ac67-4a44-bb2e-5b7996f040df","C70793","Code_60"
"ISO 3166 1 alpha3","United States of America","2020-08","5a232b40-24c1-4e97-a77a-ee3615d9733d","USA","Code_61"
"http://www.cdisc.org","Study Registry","2023-09-29","6e9a2d6b-2e42-4121-b970-58bde08b4484","C93453","Code_62"
"http://www.cdisc.org","Treatment Study","2023-09-29","5f29392b-2c54-4d1b-a7ad-c96be9e7ff87","C49656","Code_120"
"http://www.cdisc.org","Efficacy Study","2023-09-29","5fc339d6-cbf7-49a3-97c1-659ed4e02fca","C49666","Code_121"
"http://www.cdisc.org","Safety Study","2023-09-29","10778817-6089-430a-8491-ed26be6172f3","C49667","Code_122"
"http://www.cdisc.org","Pharmacokinetic Study","2023-09-29","1be43e47-7cea-4697-be34-b899b8b49c9d","C49663","Code_123"
"SPONSOR","Mild to Moderate Alzheimer\'s Disease","12","f2f62841-0f30-4aa8-9cb5-f50f74aa2288","MILD_MOD_ALZ","Code_117"
"SNOMED","Alzheimer\'s disease","January 31, 2018","a9821e03-a75d-4e8e-a313-d58d85c66d1c","26929004","Code_118"
"http://www.cdisc.org","Parallel Study","2023-09-29","7a9d0b3d-24f4-42c7-872c-b1397d39aa4f","C82639","Code_124"
"http://www.cdisc.org","Visit","2023-09-29","7f215a9f-4d6a-4553-a40d-5a37de90b327","C25716","Code_66"
"http://www.cdisc.org","Clinic","2023-09-29","37532972-98b1-48fa-83c9-a8a7f57174a8","C51282","Code_67"
"http://www.cdisc.org","In Person","2023-09-29","7e2145ee-5ca6-422f-a32c-788a0b85a775","C175574","Code_68"
"http://www.cdisc.org","Visit","2023-09-29","00340dc3-19eb-498b-baba-d42989dc38f6","C25716","Code_69"
"http://www.cdisc.org","Clinic","2023-09-29","4eb8ed5d-bc90-4d5c-b7a1-888a5bc80fe3","C51282","Code_70"
"http://www.cdisc.org","In Person","2023-09-29","dc818882-dba5-4d56-971c-c1e4cb09b89c","C175574","Code_71"
"http://www.cdisc.org","Visit","2023-09-29","09dd66bd-31b0-4447-a8c3-961a9bcdbb4f","C25716","Code_72"
"http://www.cdisc.org","Clinic","2023-09-29","341eab7d-fab6-410a-b08c-0eb603b2aba5","C51282","Code_73"
"http://www.cdisc.org","In Person","2023-09-29","236cbf39-a469-48eb-9e43-c40b88c3d8e8","C175574","Code_74"
"http://www.cdisc.org","Visit","2023-09-29","0a43be47-214c-4b24-9135-1bbf4dbabc7a","C25716","Code_75"
"http://www.cdisc.org","Clinic","2023-09-29","3e539589-48eb-4a48-83ad-fa8d1ce3cd82","C51282","Code_76"
"http://www.cdisc.org","In Person","2023-09-29","993bc94e-d6e4-48b8-ad2b-69aca8c97fff","C175574","Code_77"
"http://www.cdisc.org","Visit","2023-09-29","eea24c0a-5324-4ff5-b004-c403a8ba3b0f","C25716","Code_78"
"http://www.cdisc.org","Clinic","2023-09-29","c4a78c71-693c-4892-b570-c2075ebd0ba6","C51282","Code_79"
"http://www.cdisc.org","In Person","2023-09-29","0c79be94-f305-45ae-8bf2-dc7c42fd49a8","C175574","Code_80"
"http://www.cdisc.org","Visit","2023-09-29","e2af985f-d010-4abb-83e6-6543bd123495","C25716","Code_81"
"http://www.cdisc.org","Clinic","2023-09-29","139668e3-be4f-4cf5-9841-01bb5c9e7841","C51282","Code_82"
"http://www.cdisc.org","In Person","2023-09-29","c03533a6-3efd-452d-ac32-49faa2e59d8f","C175574","Code_83"
"http://www.cdisc.org","Visit","2023-09-29","b78b60d7-fae5-4fe2-a92d-a55cfacb60ef","C25716","Code_84"
"http://www.cdisc.org","Clinic","2023-09-29","d30a0a51-acf8-4097-b839-981b9270d36e","C51282","Code_85"
"http://www.cdisc.org","In Person","2023-09-29","a668f5cd-12de-4c6f-863c-c7696471e005","C175574","Code_86"
"http://www.cdisc.org","Telephone Call","2023-09-29","8db58754-c7ee-4b0b-a0c1-a2f7ff230cb0","C171537","Code_87"
"http://www.cdisc.org","Visit","2023-09-29","3609f2d9-0316-473d-bb07-0df5034d9764","C25716","Code_88"
"http://www.cdisc.org","Clinic","2023-09-29","d4d7d0e3-155a-4774-bc81-e05e1574c02e","C51282","Code_89"
"http://www.cdisc.org","In Person","2023-09-29","a12d4a3a-e246-4d87-9b99-bb30cc2549ff","C175574","Code_90"
"http://www.cdisc.org","Telephone Call","2023-09-29","129ed7a9-8e87-4db9-a9df-87213f43b4f9","C171537","Code_91"
"http://www.cdisc.org","Visit","2023-09-29","32cc9819-ce5c-4320-8d6c-fdd7d0e3e3d8","C25716","Code_92"
"http://www.cdisc.org","Clinic","2023-09-29","58dbb868-286a-4862-a3fd-849fabbfad99","C51282","Code_93"
