"name","sectionNumber","uuid:ID","sectionTitle","text","id"
"ROOT","0","c32596f2-00e4-4ef6-a8be-c7e03999b4ed","Root","","NarrativeContent_1"
"SECTION 0","0","b7a8693f-5ce1-4129-86b0-d9a8b26ada40","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2"
"SECTION 1","1","3670501f-f570-4682-943b-ad2049d88911","PROTOCOL SUMMARY","<div></div>","NarrativeContent_3"
"SECTION 1.1","1.1","fd15d7da-e86d-4e56-be58-9acdace0a0e5","Protocol Synopsis","<div></div>","NarrativeContent_4"
"SECTION 1.2","1.2","0d523780-617d-45dd-b025-2060244ef1c5","Trial Schema","<div></div>","NarrativeContent_5"
"SECTION 1.3","1.3","df819cbe-fc16-4881-bd3f-a5282647d941","Schedule of Activities","<div></div>","NarrativeContent_6"
"SECTION 2","2","513b40b0-7824-42df-ab8c-c90c26bd14cb","INTRODUCTION","<div></div>","NarrativeContent_7"
"SECTION 2.1","2.1","6659dc8a-a420-435c-8bd4-1fd1beed938e","Purpose of Trial","<div></div>","NarrativeContent_8"
"SECTION 2.2","2.2","5d8e1209-c3f1-4801-b784-a55d7c53d33c","Summary of Benefits and Risks","<div></div>","NarrativeContent_9"
"SECTION 3","3","c52e4207-9bc6-4579-ac17-d110e5bb07e3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_10"
"SECTION 3.1","3.1","c3f9e1e0-5387-46eb-8b2d-52bc40bf075e","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11"
"SECTION 4","4","c9cef101-f6fc-4b34-85c2-91cda24f45a5","TRIAL DESIGN","<div></div>","NarrativeContent_12"
"SECTION 4.1","4.1","4dd8f789-af85-44eb-be0d-02b0edf6c06b","Description of Trial Design","<div></div>","NarrativeContent_13"
"SECTION 4.1.1","4.1.1","2211db97-752b-491a-bd21-0a9cd5c02424","Participant Input into Design","<div></div>","NarrativeContent_14"
