"sectionNumber","name","id","uuid:ID","sectionTitle","text"
"0","ROOT","NarrativeContent_1","20a917b2-28e7-49ce-b791-5baaf59be9dc","Root",""
"0","SECTION 0","NarrativeContent_2","70b81bb9-196c-48f9-b72a-6a25eb5b7c5f","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>"
"1","SECTION 1","NarrativeContent_3","e106d77a-e947-4b2d-8e31-c28c88ef44f0","PROTOCOL SUMMARY","<div></div>"
"1.1","SECTION 1.1","NarrativeContent_4","8eb39519-a23a-4d09-914b-0f61f639e31b","Protocol Synopsis","<div></div>"
"1.2","SECTION 1.2","NarrativeContent_5","22ee4573-7307-467a-bacb-c24195bfe213","Trial Schema","<div></div>"
"1.3","SECTION 1.3","NarrativeContent_6","1309d87a-5022-47f5-9917-b1f555128f31","Schedule of Activities","<div></div>"
"2","SECTION 2","NarrativeContent_7","4ab95b1d-50d0-44a9-aef3-336ae1cce53c","INTRODUCTION","<div></div>"
"2.1","SECTION 2.1","NarrativeContent_8","8ddc2b9f-de90-412d-8306-b29519f123a8","Purpose of Trial","<div></div>"
"2.2","SECTION 2.2","NarrativeContent_9","11d1aee5-be10-4103-afda-a62d58e5e320","Summary of Benefits and Risks","<div></div>"
"3","SECTION 3","NarrativeContent_10","8849f9f4-379a-4318-90d2-bcf8ad9732db","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>"
"3.1","SECTION 3.1","NarrativeContent_11","37167b10-3313-414c-aabf-02ef88de89d6","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>"
"4","SECTION 4","NarrativeContent_12","f425a293-9e63-4849-9076-f83de2d9fa8c","TRIAL DESIGN","<div></div>"
"4.1","SECTION 4.1","NarrativeContent_13","d3a46851-741e-495a-a459-ffbbd5171982","Description of Trial Design","<div></div>"
"4.1.1","SECTION 4.1.1","NarrativeContent_14","07b23676-e4c0-45f6-85bc-ec330e8e7c2f","Participant Input into Design","<div></div>"
"4.2","SECTION 4.2","NarrativeContent_15","179d5c8a-bee0-46f0-b158-9e27ca58aad0","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"4.2.1","SECTION 4.2.1","NarrativeContent_16","770ed428-105e-4b0f-8b35-08a8bc1463da","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"4.2.2","SECTION 4.2.2","NarrativeContent_17","a35454fa-0f42-42f0-af58-13bbc0b87b9b","Rationale for Adaptive or Novel Trial Design","<div></div>"
"4.2.3","SECTION 4.2.3","NarrativeContent_18","f7aa5800-3df4-4793-b4e6-40549ae1bb0d","Other Trial Design Considerations","<div></div>"
"4.3","SECTION 4.3","NarrativeContent_19","bef72edb-988f-4b56-8a1f-1380be305553","Access to Trial Intervention After End of Trial","<div></div>"
"4.4","SECTION 4.4","NarrativeContent_20","35e17c22-289b-4e78-b8c8-b3ef4ac64e96","Start of Trial and End of Trial","<div></div>"
"5","SECTION 5","NarrativeContent_21","ff498e16-430f-4d8f-a0bc-f58b9df1df40","TRIAL POPULATION","<div></div>"
