"uuid:ID","instanceType","id"
"2657027b-8648-4348-9176-80b971617f98","StudyCell","StudyCell_1"
"d18a233d-c83f-4264-a986-1f3a38662332","StudyCell","StudyCell_2"
"a70ea0db-3c55-480c-98e6-e0bd0c41ce54","StudyCell","StudyCell_3"
"63b65d44-9cba-4258-aa2a-a2a6b29b5faf","StudyCell","StudyCell_4"
"701ecc60-42d3-4f5e-8843-6d44f4b6aaf4","StudyCell","StudyCell_5"
"d21e1248-a860-4c89-89af-f5885962ec90","StudyCell","StudyCell_6"
"005d5c59-51fc-4ec4-900f-437ebebc71e8","StudyCell","StudyCell_7"
"d6ab0f8c-9aec-43d1-9d7f-a8ab8838ae5b","StudyCell","StudyCell_8"
"2e661490-48b4-48aa-8ca7-066380b12dbb","StudyCell","StudyCell_9"
"d579993f-6f1b-451f-8e16-4626281678d3","StudyCell","StudyCell_10"
"6233eef1-7f30-4341-b4d3-aeff82492c06","StudyCell","StudyCell_11"
"5dbb0119-f9d8-4b9a-a8d2-d9a049cddf4c","StudyCell","StudyCell_12"
"48227c3e-7d23-403b-b53f-3b4b6faeb84d","StudyCell","StudyCell_13"
"79e76554-22f5-42a1-bd72-ed40ed8e22c8","StudyCell","StudyCell_14"
"80d5f137-cd95-4e9e-b5ae-47d549588fa0","StudyCell","StudyCell_15"
