"reference","synonyms","uuid:ID","label","id","name"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","1f6cff81-fa46-42d5-b46f-ad16b9c39a91","Body Temperature","BiomedicalConcept_18","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","0046ceb6-9cc5-4136-878c-edc00566bd4e","Body Weight","BiomedicalConcept_19","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","4e18e3cf-df24-49b9-b20b-69587637bf8e","Body Height","BiomedicalConcept_20","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","d29f7954-5f0b-42f7-bf5a-8f0a818f2c29","Alanine Aminotransferase Measurement","BiomedicalConcept_21","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","2671e2e2-5e45-4678-a765-f242c5650dc5","Albumin Measurement","BiomedicalConcept_22","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","54342f01-7fb6-443e-a1f0-157c219242d6","Alkaline Phosphatase Measurement","BiomedicalConcept_23","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","132ba24c-92fa-454f-8392-2f75d9999a90","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","568fd04a-0a54-48c3-86f0-9a46742ba275","Creatinine Measurement","BiomedicalConcept_25","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","30e20522-c6aa-4693-94c8-7c8911302784","Potassium Measurement","BiomedicalConcept_26","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","32be05fb-95a7-4fec-b1f0-708508efad1d","Sodium Measurement","BiomedicalConcept_27","Sodium Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","9ddd6f84-0966-4136-901b-656542d41eab","Adverse Event","BiomedicalConcept_1","Adverse Event"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","4280f756-9b3b-4532-b327-740ab9a07025","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","558dca12-fcad-42b3-9110-3fa04bdd3c6b","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","ce040e0c-5ab5-40db-8896-e8a5dccf1ae0","Body Temperature","BiomedicalConcept_4","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","2b12be3f-a3ca-42af-ac85-80c74fae3802","Body Weight","BiomedicalConcept_5","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","29aad9d7-2317-4303-b849-e967c9c0f05a","Body Height","BiomedicalConcept_6","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","62237b5e-5246-487d-9b8a-18a47db07c7d","Alanine Aminotransferase Measurement","BiomedicalConcept_7","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","90e1073e-5c2d-4d3a-803c-fec23a050d0c","Albumin Measurement","BiomedicalConcept_8","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","4dad5e29-509b-4329-bac8-7a4afb4642b6","Alkaline Phosphatase Measurement","BiomedicalConcept_9","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","b0a7d864-5ca4-4c6c-ac15-16e1d424e1d7","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","7b56a9b2-c7ed-4596-ac99-612a50a96521","Creatinine Measurement","BiomedicalConcept_11","Creatinine Measurement"
