"name","text","id","uuid:ID","sectionTitle","sectionNumber"
"ROOT","","NarrativeContent_1","b687a279-bef7-45df-85de-c263e4d93103","Root","0"
"SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","3fa2bbd0-773b-4aae-968a-44bd9bd8ff02","TITLE PAGE","0"
"SECTION 1","<div></div>","NarrativeContent_3","a6d26426-ac1b-4281-a9bb-1da0d7832f64","PROTOCOL SUMMARY","1"
"SECTION 1.1","<div></div>","NarrativeContent_4","1f520070-f633-42e7-b0c8-d7d9da577134","Protocol Synopsis","1.1"
"SECTION 1.2","<div></div>","NarrativeContent_5","d42ca317-5b9d-4f49-8203-6d45f1fb57a5","Trial Schema","1.2"
"SECTION 1.3","<div></div>","NarrativeContent_6","31b2c2f7-e30e-4775-a924-2d451bf828b5","Schedule of Activities","1.3"
"SECTION 2","<div></div>","NarrativeContent_7","b510b6b7-6735-4b3c-b451-79a4b7683a9a","INTRODUCTION","2"
"SECTION 2.1","<div></div>","NarrativeContent_8","82f6df15-8617-44dd-9b48-bdb4aede7ff9","Purpose of Trial","2.1"
"SECTION 2.2","<div></div>","NarrativeContent_9","c31be285-505c-46fc-bb6b-cd1d92230de8","Summary of Benefits and Risks","2.2"
"SECTION 3","<div></div>","NarrativeContent_10","15e3b845-d24a-4e84-a2ab-4724996a54c4","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3"
"SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","58d9963e-a7dd-4964-8db2-67d0b9b00508","Primary Objectives","3.1"
"SECTION 4","<div></div>","NarrativeContent_12","0b0d7edd-2ea4-4bba-9595-0d7613c7aed4","TRIAL DESIGN","4"
"SECTION 4.1","<div></div>","NarrativeContent_13","3ef5d447-0dde-4c6f-b988-fb4756f05579","Description of Trial Design","4.1"
"SECTION 4.1.1","<div></div>","NarrativeContent_14","5e7b314c-2467-448b-af15-a03e344fd435","Participant Input into Design","4.1.1"
"SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","a2eedfce-0d1c-4a93-a761-138b465cde35","Rationale for Trial Design","4.2"
"SECTION 4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","3029e207-75f3-4c90-a37e-486916fe75fc","Rationale for Comparator","4.2.1"
"SECTION 4.2.2","<div></div>","NarrativeContent_17","062aa080-5922-446b-97b8-3e1d2276f974","Rationale for Adaptive or Novel Trial Design","4.2.2"
"SECTION 4.2.3","<div></div>","NarrativeContent_18","f2c57d67-a24e-45a0-b98e-57daf425f779","Other Trial Design Considerations","4.2.3"
"SECTION 4.3","<div></div>","NarrativeContent_19","ede71c4d-f817-4e6d-8391-c4ae295d1e13","Access to Trial Intervention After End of Trial","4.3"
"SECTION 4.4","<div></div>","NarrativeContent_20","c22fca10-5807-40fa-a508-565d2a8a13e8","Start of Trial and End of Trial","4.4"
"SECTION 5","<div></div>","NarrativeContent_21","630839be-3cc5-457b-be6d-3edbdea43ac2","TRIAL POPULATION","5"
