"name","uuid:ID","id","text","instanceType"
"ENCOUNTER_START_RULE_1","9434e978-aa46-4206-a011-d8e896718170","TransitionRule_1","Subject identifier","TransitionRule"
"ENCOUNTER_START_RULE_1","54fb8c46-79ac-43e0-96ac-40e6fba3b6dc","TransitionRule_2","completion of screening activities","TransitionRule"
"ENCOUNTER_START_RULE_2","88c7d314-c393-4edd-9f54-d4f7bda8894b","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"ENCOUNTER_START_RULE_3","b4d6cfa5-76b9-4c9c-8624-695fbd73bc5b","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"ENCOUNTER_START_RULE_3","4b2495a1-c4d4-4c7d-ae8a-371ae5690941","TransitionRule_5","Radomized","TransitionRule"
"ENCOUNTER_START_RULE_12","d2ce8ba2-a075-4909-b651-0bd2f23ebadb","TransitionRule_6","End of treatment","TransitionRule"
"ELEMENT_START_RULE_1","256f2b46-d7b0-430a-8999-cb4d8bf17131","TransitionRule_7","Informed consent","TransitionRule"
"ELEMENT_END_RULE_1","9fb528c2-1d78-44ac-9901-e8689207b053","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"ELEMENT_START_RULE_2","7d4b518c-3c34-40b1-830c-dbf9fd6da0c8","TransitionRule_9","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_7","7c659090-389b-4d02-a44c-24caeed814a9","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"ELEMENT_END_RULE_7","538fe855-c7b6-4ba3-8ded-8b02d8690d6e","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"ELEMENT_START_RULE_3","b4965bba-30f3-45df-a892-7da041de9379","TransitionRule_10","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_4","60e19807-7a54-42fd-a618-c513426e7bff","TransitionRule_11","Randomized","TransitionRule"
"ELEMENT_START_RULE_5","86c4b8e3-2a23-41d7-a844-a261b9c9a459","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"ELEMENT_START_RULE_6","f51e40fe-9d5d-475d-b3f4-b1aea223bf48","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
