"uuid:ID","name","id","text","instanceType"
"36064f82-b324-4c68-b846-28ef5a4c5ee6","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","TransitionRule"
"eea17751-3606-4b21-9e0b-d821fadccc13","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","TransitionRule"
"ae43f8a2-f2b2-4e25-adf6-401aebdb1693","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"dee586f8-a0c5-4369-8a3a-0fe386dc2f3d","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"a4c904e7-d13c-41bb-a3f1-ce766e60151f","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","TransitionRule"
"e5cc2a6d-84f2-4daa-91a4-fa153eb7ce80","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","TransitionRule"
"980b3910-b959-4f31-9953-c0419a1e493b","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","TransitionRule"
"42525e3c-74ed-4c94-bf90-dca8431e8865","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"a23dc8ca-a89a-497e-826a-2b52044cd20a","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","TransitionRule"
"c8c4aad1-93a3-44fc-8837-7ba8644be949","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"249e985e-dfcf-4b7e-8ad9-254b937d233e","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"938d842c-e244-4532-a3a2-a1622493ded6","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","TransitionRule"
"9a70471b-492c-4587-8c88-cef48cc446dd","ELEMENT_START_RULE_4","TransitionRule_11","Randomized","TransitionRule"
"c316b787-995c-4b06-9ca3-78e3952728fa","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"2fc07c1a-89f7-4cd1-a7ce-adf2698470ee","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
