"label","datatype","name","uuid:ID","isRequired","instanceType","id","isEnabled"
"Vital Signs Result","decimal","Vital Signs Result","89bf3444-faf0-486b-886a-154eb9c39ca9","True","BiomedicalConceptProperty","BiomedicalConceptProperty_98","True"
"Unit of Temperature","string","Unit of Temperature","2c7f810e-1478-410d-b158-e8a1357e843e","True","BiomedicalConceptProperty","BiomedicalConceptProperty_99","True"
"Vital Signs Location","string","Vital Signs Location","2d257f3e-abd6-4b35-93e2-b07d151ef198","True","BiomedicalConceptProperty","BiomedicalConceptProperty_100","True"
"Vital Signs Result","decimal","Vital Signs Result","8fea61b4-a9cb-4a4e-b489-97f54334bd5a","True","BiomedicalConceptProperty","BiomedicalConceptProperty_101","True"
"Unit of Weight","string","Unit of Weight","136ca4b1-f093-417b-a8bb-c1ec6646e972","True","BiomedicalConceptProperty","BiomedicalConceptProperty_102","True"
"Vital Signs Result","decimal","Vital Signs Result","d3fb92d4-2e7e-4d9f-b878-0a3986754df6","True","BiomedicalConceptProperty","BiomedicalConceptProperty_103","True"
"Unit of Height","string","Unit of Height","791ef9f8-3cb6-40f4-ab3b-e244cb246090","True","BiomedicalConceptProperty","BiomedicalConceptProperty_104","True"
"Laboratory Test Result","decimal","Laboratory Test Result","73344556-4568-4391-82ad-f8072c726954","True","BiomedicalConceptProperty","BiomedicalConceptProperty_105","True"
"Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status","9b82713c-17af-4820-b7f2-c9273e4d576a","True","BiomedicalConceptProperty","BiomedicalConceptProperty_106","True"
"Unit of Catalytic Activity Concentration","string","Unit of Catalytic Activity Concentration","763ce90e-0938-4717-b4d5-db0ca4f92179","True","BiomedicalConceptProperty","BiomedicalConceptProperty_107","True"
"Biospecimen Type","string","Biospecimen Type","399219a0-ad72-42b1-92a4-96916055afa5","True","BiomedicalConceptProperty","BiomedicalConceptProperty_108","True"
"Laboratory Test Result","string","Laboratory Test Result","f29376a7-8c80-4358-aa2e-ac4c5ccf7091","True","BiomedicalConceptProperty","BiomedicalConceptProperty_109","True"
"Laboratory Test Fasting Status","boolean","Laboratory Test Fasting Status","8f0cabe0-51fc-49c6-a5bf-4ee5b35771cc","True","BiomedicalConceptProperty","BiomedicalConceptProperty_110","True"
"Unit of Concentration","string","Unit of Concentration","7f6ad55c-874f-4ba3-912b-5e95853584a7","True","BiomedicalConceptProperty","BiomedicalConceptProperty_111","True"
"Biospecimen Type","string","Biospecimen Type","f2ae3c70-233b-46e6-89c3-b03529457502","True","BiomedicalConceptProperty","BiomedicalConceptProperty_112","True"
"Laboratory Test Result","decimal","Laboratory Test Result","cb723efb-1ed1-4802-909e-e8a62d9aa07e","True","BiomedicalConceptProperty","BiomedicalConceptProperty_113","True"
