"instanceType","text","name","uuid:ID","sectionNumber","sectionTitle","id"
"NarrativeContent","","ROOT","9606f764-2605-4e96-bf9c-1065f5b52778","0","Root","NarrativeContent_1"
"NarrativeContent","<div><usdm:section name=""M11-title-page""></div>","SECTION 0","f927b56f-d708-46bf-9c8f-5a83a035d827","0","TITLE PAGE","NarrativeContent_2"
"NarrativeContent","<div></div>","SECTION 1","c687225a-1f91-43a9-824c-7b530776dc91","1","PROTOCOL SUMMARY","NarrativeContent_3"
"NarrativeContent","<div></div>","SECTION 1.1","7019ef2a-5f27-4b9c-802c-bca815d36628","1.1","Protocol Synopsis","NarrativeContent_4"
"NarrativeContent","<div></div>","SECTION 1.2","cb4048d5-bbec-4f7f-a6c7-896ed64dd7bf","1.2","Trial Schema","NarrativeContent_5"
"NarrativeContent","<div></div>","SECTION 1.3","3e9c50e5-d233-4670-a7b1-6744ea25e533","1.3","Schedule of Activities","NarrativeContent_6"
"NarrativeContent","<div></div>","SECTION 2","2b25598d-68a2-41af-9f6c-7a2c06ed63a7","2","INTRODUCTION","NarrativeContent_7"
"NarrativeContent","<div></div>","SECTION 2.1","5ed5cb5d-2a73-485a-a11a-a68539bd0f8d","2.1","Purpose of Trial","NarrativeContent_8"
"NarrativeContent","<div></div>","SECTION 2.2","77a48b17-7ddb-4489-bbeb-e455af21cac9","2.2","Summary of Benefits and Risks","NarrativeContent_9"
"NarrativeContent","<div></div>","SECTION 3","9c9da505-86fd-4e86-8cc7-53c328a1655c","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10"
"NarrativeContent","<div><usdm:section name=""M11-objective-endpoints""></div>","SECTION 3.1","80108205-45be-49f7-a4d7-9bcabb4deafc","3.1","Primary Objectives","NarrativeContent_11"
"NarrativeContent","<div></div>","SECTION 4","d180cd30-e828-40fb-9c28-842bdc9f5d8a","4","TRIAL DESIGN","NarrativeContent_12"
"NarrativeContent","<div></div>","SECTION 4.1","be9b2f84-1a1e-4972-a3e8-e4daecd19bf8","4.1","Description of Trial Design","NarrativeContent_13"
"NarrativeContent","<div></div>","SECTION 4.1.1","386b4d61-1917-45aa-a394-9aa75f421861","4.1.1","Participant Input into Design","NarrativeContent_14"
"NarrativeContent","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","SECTION 4.2","55d074ac-1940-47a6-a8e6-89684a19e485","4.2","Rationale for Trial Design","NarrativeContent_15"
"NarrativeContent","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","SECTION 4.2.1","df15cdbd-b0c0-4c5f-a163-10a40fbf1888","4.2.1","Rationale for Comparator","NarrativeContent_16"
"NarrativeContent","<div></div>","SECTION 4.2.2","73760980-0918-44bf-8f57-3df74259c8d5","4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17"
"NarrativeContent","<div></div>","SECTION 4.2.3","7b75246e-ace5-4106-ad4a-e3256a5a6ff1","4.2.3","Other Trial Design Considerations","NarrativeContent_18"
"NarrativeContent","<div></div>","SECTION 4.3","db0ee845-8aa0-43a0-8b4c-794e2512ffd1","4.3","Access to Trial Intervention After End of Trial","NarrativeContent_19"
"NarrativeContent","<div></div>","SECTION 4.4","bb5cf8dc-8b38-4319-a2b5-1e537e1ded34","4.4","Start of Trial and End of Trial","NarrativeContent_20"
"NarrativeContent","<div></div>","SECTION 5","6cf499ea-9ace-4632-8821-d7bcdc114ffb","5","TRIAL POPULATION","NarrativeContent_21"
"NarrativeContent","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","SECTION 5.1","06713633-898c-46fc-a5d0-6475c057b45c","5.1","Selection of Trial Population","NarrativeContent_22"
"NarrativeContent","<div></div>","SECTION 5.2","3aca2fb1-69cd-45a4-af29-b8521feb1dec","5.2","Rationale for Trial Population","NarrativeContent_23"
"NarrativeContent","<div><usdm:section name=""M11-inclusion""></div>","SECTION 5.3","b1c3b023-26b6-459e-b7d3-0695cc6196b7","5.3","Inclusion Criteria","NarrativeContent_24"
"NarrativeContent","<div><usdm:section name=""M11-exclusion""></div>","SECTION 5.4","ed134310-b609-4a0e-a1a9-724394907675","5.4","Exclusion Criteria","NarrativeContent_25"
"NarrativeContent","<div></div>","SECTION 5.5","2ffc2a46-09d7-4563-99a9-9fa166582e26","5.5","Lifestyle Considerations","NarrativeContent_26"
"NarrativeContent","<div></div>","SECTION 5.5.1","6d9afbae-0070-4a14-9260-3caba2d37267","5.5.1","Meals and Dietary Restrictions","NarrativeContent_27"
"NarrativeContent","<div><p>Not applicable</p></div>","SECTION 5.5.2","2dc05cea-8c51-4826-be07-b16390768c36","5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_28"
"NarrativeContent","<div></div>","SECTION 5.5.3","4dd51b4e-2fec-4a4e-b477-4ab1a81faff5","5.5.3","Physical Activity","NarrativeContent_29"
"NarrativeContent","<div></div>","SECTION 5.5.4","f09c58e5-6c03-4bba-9d36-f63b274a6d05","5.5.4","Other Activity","NarrativeContent_30"
"NarrativeContent","<div></div>","SECTION 5.6","cff70edb-cfec-4e3a-a2d0-94307085fd94","5.6","Screen Failures","NarrativeContent_31"
"NarrativeContent","<div></div>","SECTION 6","42ea4bd6-84b6-4032-a3ff-9a1e37a646e8","6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_32"
"NarrativeContent","<div></div>","SECTION 6.1","902893bf-c14d-4bcf-8c69-636fbb054d61","6.1","Description of Trial Intervention","NarrativeContent_33"
"NarrativeContent","<div></div>","SECTION 6.2","751fbcd7-8def-4896-a8cc-d4f9cc156acd","6.2","Rationale for Trial Intervention","NarrativeContent_34"
"NarrativeContent","<div></div>","SECTION 6.3","9e99b72b-9b30-4153-9655-e94817ba4df9","6.3","Dosing and Administration","NarrativeContent_35"
"NarrativeContent","<div></div>","SECTION 6.3.1","dfaca4d0-6b6b-4230-8637-49436b5a604e","6.3.1","Trial Intervention Dose Modification","NarrativeContent_36"
"NarrativeContent","<div></div>","SECTION 6.4","5de6e79c-b601-408c-b7eb-3259c1d0011f","6.4","Treatment of Overdose","NarrativeContent_37"
"NarrativeContent","<div></div>","SECTION 6.5","5bf2dd83-0b65-4545-831d-34bd09a5bb32","6.5","Preparation, Handling, Storage and Accountability","NarrativeContent_38"
"NarrativeContent","<div></div>","SECTION 6.5.1","88e9c9b0-0e36-4870-a053-3c78fd665da7","6.5.1","Preparation of Trial Intervention","NarrativeContent_39"
"NarrativeContent","<div></div>","SECTION 6.5.2","b5f5d851-d533-4d96-ae0f-16a8eb7e33ee","6.5.2","Handling and Storage of Trial Intervention","NarrativeContent_40"
"NarrativeContent","<div></div>","SECTION 6.5.3","b622298d-c2f1-4580-ad1d-96ea241c61d1","6.5.3","Accountability of Trial Intervention","NarrativeContent_41"
"NarrativeContent","<div></div>","SECTION 6.6","67d27a8d-f969-4234-87cd-aaaaae0f78cc","6.6","Participant Assignment, Randomisation and Blinding","NarrativeContent_42"
"NarrativeContent","<div></div>","SECTION 6.6.1","f77474e9-f6b3-46c9-9c2d-d3d5f1cc7e4b","6.6.1","Participant Assignment","NarrativeContent_43"
"NarrativeContent","<div></div>","SECTION 6.6.2","5adab0e2-74dc-4f64-9e2c-89db7330c105","6.6.2","Randomisation","NarrativeContent_44"
"NarrativeContent","<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","SECTION 6.6.3","3bac77d0-8e9a-48c1-b5d9-cc62a2e83ff6","6.6.3","Blinding and Unblinding","NarrativeContent_45"
"NarrativeContent","<div></div>","SECTION 6.7","9181fcf7-8e68-4e21-aeea-a54c2709de4e","6.7","Trial Intervention Compliance","NarrativeContent_46"
"NarrativeContent","<div></div>","SECTION 6.8","27ca721f-fa8e-4004-be6c-3a0cbd1974e1","6.8","Concomitant Therapy","NarrativeContent_47"
"NarrativeContent","<div></div>","SECTION 6.8.1","fff48c36-6230-4496-8b3f-b2b62a3cd25d","6.8.1","Prohibited Concomitant Therapy","NarrativeContent_48"
"NarrativeContent","<div></div>","SECTION 6.8.2","f97c7562-db60-4686-8674-3ec406bda504","6.8.2","Permitted Concomitant Therapy","NarrativeContent_49"
"NarrativeContent","<div></div>","SECTION 6.8.3","f7b8b054-8bc7-4fc8-ab27-7f7e2ef68c6d","6.8.3","Rescue Therapy","NarrativeContent_50"
"NarrativeContent","<div></div>","SECTION 6.8.4","939cd13e-dae2-45b3-a6b6-a3e11f4d0b38","6.8.4","Other Therapy","NarrativeContent_51"
"NarrativeContent","<div></div>","SECTION 7","7bb6f8b2-063d-46ec-8d79-5440b89f2f87","7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_52"
"NarrativeContent","<div></div>","SECTION 7.1","2b91fd76-8d60-440e-8715-5eba30a3e00e","7.1","Discontinuation of Trial Intervention","NarrativeContent_53"
"NarrativeContent","<div></div>","SECTION 7.1.1","4394805c-5cb9-43e4-b99a-d0557412e27e","7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_54"
