"label","uuid:ID","text","id","name","description"
"","d7f4e3e9-86c2-48d0-9963-91e3446efd35","Subject identified","TransitionRule_1","ENCOUNTER_START_RULE_1",""
"","3aa77786-d4f9-44ac-9529-86941ebe7335","IEs passed","TransitionRule_2","ENCOUNTER_START_RULE_1",""
"","5f0c63c1-8533-4d98-a58a-10d9240fbf18","Radomized","TransitionRule_3","ENCOUNTER_START_RULE_3",""
"","887dc4aa-deca-44c5-a57e-0e1b0d49532c","Study Start","TransitionRule_4","ELEMENT_START_RULE_1",""
"","4448b616-f6fc-44be-8571-81f0894c8c46","Screened","TransitionRule_5","ELEMENT_END_RULE_1",""
"","7b815abe-e4dd-4852-96b5-d61f478bec87","Screened","TransitionRule_6","ELEMENT_START_RULE_2",""
"","d862b166-5764-4020-95b8-a244460f5c8f","Radomized","TransitionRule_7","ELEMENT_END_RULE_2",""
"","ea4f2863-0a81-44c8-816d-4c80a99a954f","Radomized","TransitionRule_8","ELEMENT_START_RULE_3",""
"","18557926-e420-4106-96d1-307222531482","Completed treatment 1","TransitionRule_9","ELEMENT_END_RULE_3",""
"","7282d7a1-91c3-4b52-850c-f0af2d8df028","Radomized","TransitionRule_12","ELEMENT_START_RULE_5",""
"","034b9957-1466-4489-a7bf-ba2cd674adba","Completed treatment 2","TransitionRule_13","ELEMENT_END_RULE_5",""
"","18a7a427-b19b-4fb5-824e-25308973f4a2","Treated","TransitionRule_10","ELEMENT_START_RULE_4",""
"","76f073aa-eabe-4ea9-8bb8-d27f38aefb52","Leave Study","TransitionRule_11","ELEMENT_END_RULE_4",""
