"name","id","instanceType","uuid:ID","text"
"ENCOUNTER_START_RULE_1","TransitionRule_1","TransitionRule","1698bf84-19c4-4f5b-afb1-c958165f87a3","Subject identifier"
"ENCOUNTER_START_RULE_1","TransitionRule_2","TransitionRule","97f2ffa7-29de-4150-9e64-003d0bda985e","completion of screening activities"
"ENCOUNTER_START_RULE_2","TransitionRule_3","TransitionRule","d3e695b3-3f0a-4fb5-86b8-41ca4af8519d","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","TransitionRule_4","TransitionRule","9ec94226-c895-41ef-bef0-4c6341c09102","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","TransitionRule_5","TransitionRule","b868e613-6f7e-4455-b0e5-ce57a58b254f","Radomized"
"ENCOUNTER_START_RULE_12","TransitionRule_6","TransitionRule","efdf9690-6004-4e5f-aa85-8efabd4cc902","End of treatment"
"ELEMENT_START_RULE_1","TransitionRule_7","TransitionRule","7ab995e7-c904-4b70-8124-3055350a7d3f","Informed consent"
"ELEMENT_END_RULE_1","TransitionRule_8","TransitionRule","952a5a49-4feb-417f-8451-7684685f63b9","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","TransitionRule_9","TransitionRule","0a19af03-85c6-40ad-9b49-32188bd455db","Administration of first dose"
"ELEMENT_START_RULE_7","TransitionRule_14","TransitionRule","bb609c86-6c93-4c4a-be70-175eaff51451","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","TransitionRule_15","TransitionRule","e7e2fb37-72a1-4dba-9d42-78f1dd7aee3a","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","TransitionRule_10","TransitionRule","3fa464d0-ca54-4835-be3e-862f7f69b2a1","Administration of first dose"
"ELEMENT_START_RULE_4","TransitionRule_11","TransitionRule","0e34e017-24c9-48c7-b9dd-949b7109c08c","Randomized"
"ELEMENT_START_RULE_5","TransitionRule_12","TransitionRule","01ef5b40-1542-456c-8612-7025ace49b30","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","TransitionRule_13","TransitionRule","098f5183-0c4d-4f8a-b32f-ef6ca997533d","Administration of first dose (from patches supplied at Visit 12)"
